以下哪一项不属于中医护理的基本原则,C,辨证施护,标本缓急,同病异护，异病同护,三因制宜,
中医护理病情观察的目的除哪一项外,C,为疾病诊断和辨证提供依据,判断疾病的进退,为医生确定治疗方案提供依据,及时发现危重病症及并发症，防止病情恶化,
情志护理的原则不包括哪一项,A,诚挚体贴,因人施护,避免刺激,顺情从欲,
感冒的病机为,B,肺气不清，失于宣肃,邪犯肺卫，卫表失和,痰阻气道，肺失肃降,风邪闭肺，肺失宣肃,
感冒的病理性质为,D,实证,表实证,表虚证,虚实夹杂证,
下列除哪项外，均为风寒感冒与风热感冒的主要鉴别依据,A,恶寒发热的孰轻孰重,渴与不渴,流涕的清与浊,头身疼痛与否,
恶寒重，发热轻，肢节酸痛，鼻塞流清涕，口不渴或渴喜热饮，舌苔薄白，证属,C,风寒感冒,风热感冒,暑湿感冒,时行感冒,
身热微恶风寒，少汗，头昏，心烦，口干，干咳少痰，舌红少苔，证属,D,暑湿感冒,风热感冒,气虚感冒,阴虚感冒,
感冒的治疗原则为,C,辛温解表,辛凉解表,解表达邪,清暑祛湿解表,
以下哪项属于喘证的病理特点,C,邪犯肺卫，卫表不和,邪壅肺气，宣降不利,气机升降出纳失常,久病劳欲，气阴亏耗,
以下哪项是虚喘肾虚证的主要临床表现,B,喘咳上气，胸胀或痛，息粗鼻煽，咳而不爽，吐痰粘稠，伴形寒身热，口渴，舌边红,喘促短气，气怯声低，咳声低弱，痰吐稀薄，自汗畏风，极易感冒，舌质淡红，脉软弱,"喘而胸满闷窒，甚则胸盈仰息，咳嗽,痰多粘腻色白，咯吐不利，兼有呕恶纳呆，口粘不渴，苔厚腻色白，脉滑",喘促日久，气息短促，呼多吸少，动则喘甚，气不得续，咳甚而小便失禁，或尿有余沥，面青肢冷，脉微细或沉弱,
喘证的临证护理中，不正确的一项是,A,痰热郁肺所致喘促者，可按揉定喘、天突、丰隆、膻中等,实证可灸气海、关元、神阙、三阴交、肾俞、命门等穴,烦躁不安者可遵医嘱使用安宫牛黄丸或紫雪丹以镇静安神,发生喘脱时可艾灸气海、关元、百会、神阙,
治疗喘证之痰热郁肺证主要的代表方,C,麻黄汤加减,麻杏石甘汤加减,桑白皮汤加减,补肺汤合玉屏风散,
喘证的治疗原则中，实喘应治肺，以祛邪利气，区别寒、热、痰、气的不同，分别采用不同方法，除外哪一项,C,温宣,清肃,益气,化痰,
喘促每遇情志刺激而诱发，发时突然呼吸短促，息粗气憋，胸闷胸痛，咽中如窒属于喘证中哪一证型,A,痰浊阻肺证,痰热郁肺证,肝气郁闭证,肺虚证,
喘证的服药护理中不正确的是,C,遵医嘱给予氧气吸入，以持续高流量、高浓度为宜，以及时缓解症状,保持静脉输液管路通畅，根据药物性质及患者情况合理调整输入速度,遵医嘱准确及时给药，发作时切勿随意使用镇静剂，以免诱发或加重病情,发生喘脱时可喂服独参汤以回阳救逆,
胸痹扶正固本的治疗方法中以下哪项不正确,D,滋阴益肾,辛温通阳,益气养阴,温阳补气,
以下哪项不是胸痹与胃脘痛的鉴别要点,B,疼痛部位,伴随症状,有无胃肠道症状,含服硝酸甘油后症状是否缓解,
胸痹的治疗法则中不正确的是,A,益气养血，化瘀通络,活血化瘀，通脉止痛,滋阴益肾，养心安神,补益阳气，温振心阳,
以下哪项不是胸痹饮食护理的原则,A,以低盐、低脂、低胆固醇、高热量、富含纤维素,忌饱食及暴饮暴食，应定时定量，夜餐尤应忌过饱,饮食宜清淡易消化，忌食腌制品及辛辣刺激、烟酒制品、浓茶、咖啡等刺激性食物,注意调补气血，加强营养,
黄疸初起目睛发黄，迅速至全身，黄色鲜明，发热口渴，或见脘腹胀满，恶心呕吐，口干苦，小便黄赤、短少，大便秘结，舌红，苔黄腻，脉弦数。应采取哪种治疗方法,C,清热利湿通腑,"利湿化浊,清热退黄","清热解毒,凉血开窍","温中化湿,健脾和胃",
下列哪项不是胃痛与腹痛的鉴别要点,A,疼痛部位,疼痛程度,如何起病,伴随症状,
某患者，自述胃脘胀痛拒按，嗳腐吞酸，呕吐一次，为胃内容物，其味腐臭，吐后痛减，不思饮食，大便不爽，舌苔厚腻，脉滑。应选用哪种方药治疗,C,柴胡疏肝散加减,化肝煎加减,保和丸加减,一贯煎合芍药甘草汤加减,
胃痛症见胀痛，痛连两胁，每因烦恼郁怒则痛作或痛甚，嗳气、矢气则痛舒，喜长叹息，大便不畅，苔多薄白，脉弦。属于胃痛哪种证型,C,肝胃郁热,瘀血停滞,肝气犯胃,脾胃虚寒,
以下哪项不是中风的常见诱发因素,B,情志过激,劳倦内伤,饮酒饱食、嗜食肥甘厚味,气虚邪中,
中风的病位主要在,A,脑、肺、脾、肾,心、脑、肝、肾,心、肝、脾、肾,心、脑、肺、肾,
“疡医”一说最早见于,C,殷商,隋代,东汉,周代,
下列哪一项不是以疾病特征命名的外科疾病,D,烂疔,流注,湿疮,冻疮,
发于骨骼和关节间的急性化脓性疾病称为,B,无头疽,流注,走黄,有头疽,
外科内治法的具体治法哪项不正确,D,解表、清热、通里,温通、祛痰、理湿,行气、和营、内托,消肿、提脓、生肌,
能消结散肿，适用于阳证肿疡、肛门周围痈疽的膏剂是,C,黄芩油膏,金黄膏,太乙膏,阳和解凝膏,
臁疮的基本病机为,B,气虚血淤,瘀阻脉络,筋脉横解,,
臁疮治疗的关键在,D,益气活血、去瘀生新,清热利湿、益气活血,和营解毒、清热利湿,益气活血、清热解毒,
生活失度导致妇产科疾病，下列哪项是错的,A,七情内伤,房劳多产,跌扑损伤,饮食不节,
下列何种情况，须禁用坐浴及阴道冲洗,D,外阴炎,阴道炎,宫颈炎,月经期,
坐浴药治，常以什么药物为主,D,补肾滋肾,疏肝理气,健脾益气,清热解毒,
外阴血肿，宜选用下述何种外治法,D,坐浴,外阴冲洗,阴道纳药,贴敷,
冯某，因输卵管阻塞而致继发不孕，宜选用何种外治法,D,坐浴,阴道冲洗,阴道纳药,宫腔注入,
无排卵型功血最常见的症状是,C,子宫不规则出血,月经周期紊乱,经期长短不一,贫血,
实热证崩漏的治疗原则是,B,养阴清热，固冲止血,清热泻火，固冲止血,清热养阴，固冲止血,清热化瘀，固冲止血,
肾阴虚证崩漏的首选方是,A,左归丸,左归丸合二至丸,左归饮,滋阴固气汤,
导致崩漏的常见病因病机是,D,肾虚、脾虚、血热、血瘀,虚热、脾虚、血热、血寒,肾虚、脾虚、肝郁、血瘀,肾虚、脾虚、肝郁、血热,
"崩漏的治疗，应本着（
）的原则",B,治崩三法,急则治其标，缓则治其本,辨证论治,补气摄血,
崩漏的主证是血证，故临证时首辨,C,虚实,出血期还是止血后,寒热虚实,出血的新久,
功血可发生于,A,月经初潮后的青春期,生育期的妇女,月经初潮后至绝经间的任何年龄,更年期妇女,
对青春期、生育期崩漏者的复旧目标，主要是,B,调整肾-天癸-冲任-胞宫生殖轴功能,调整月经周期,止血调经,养血调经,
在妊娠周内，胎漏、胎动不安相当于西医的,A,先兆流产,过期流产,完全流产,难免流产,
异位妊娠可存在的变化,B,子宫大小予停经月数相符,子宫增大大于停经月数,子宫内膜呈分泌期改变,子宫内膜呈蜕膜样改变,
异位妊娠已破损期不稳定型的主要症候应除哪一项外,B,腹痛拒按，腹部有压痛及反跳痛，但逐步减轻,可触及界限不清的包块,有时少量阴道出血,舌质淡，苔薄白，脉细缓,
异位妊娠已破损期包块型的主要症候应除哪一项外,D,腹腔血肿包块形成,腹痛拒按，腹部有压痛及反跳痛,可有下坠胀或便意感,阴道出血逐渐停止,
患者，女，岁，已婚，确诊异位妊娠入院治疗，入院时患者有早孕反应，尿妊娠试验（+），右下腹隐痛，双合诊触及右侧附件有软性包块，压痛（+），舌淡苔薄白，脉弦滑。中医证型是,B,未破损型,已破损型,已破损休克型,已破损不稳定型,
关于癥瘕的病因病机，一般少见于,D,肾虚血瘀,气滞血瘀,寒湿凝结,痰湿瘀结,
某女，下腹部肿块，疼痛月余，伴低热，经行量多，赤白带下。妇检盆腔右侧触及鸭卵大包块，形不整，触压痛（+）。舌红，苔黄厚，脉弦滑数。最佳治法是,A,清热利湿，化瘀消癥,清热利湿，止血调经,清热解毒，利湿止带,清热利湿，消癥止痛,
急性盆腔炎注意表现为高热不退，小腹部疼痛，一般不伴有,B,停经,尿急,腹泻,尿频,
关于急性盆腔炎，下列哪项是错误的,A,临床表现为高热不退，小腹疼痛,多为突然腹痛，逐渐加重，甚至恶心呕吐,发病多见于产后、流产后、宫腔内手术后等,痛在下腹部，伴有压痛、反跳痛。,
慢性盆腔炎的病因可概括为,A,湿、热、瘀、虚,湿、热、痰、瘀,湿、热、痰、虚,痰、热、瘀、虚,
关于慢性盆腔炎，下列哪项是错误的,A,多由邻近器官炎症蔓延而来,既往有急性盆腔炎等病史,可无急性发病史，起病缓慢，反复不愈,,
“纯阳之体”是哪本书的观点？,D,《颅囟经》,《内经》,《金匮要略》,《小儿药证直诀》,
不属于麻疹顺症的是,D,邪犯肺卫,邪入肺胃,阴津耗伤,麻毒闭肺,
以下哪一症状是麻疹特有的,B,发热恶寒,口腔黏膜斑(费科氏斑),鼻塞流涕,咳嗽咽痛,
古代哪本书对小儿生长发育、体质特点、先天因素致病作了论述,D,《伤寒杂病论》,《诸病源候论》,《黄帝内经》,《小儿药证直诀》,
“十八已上为少，六岁已上为小”这句话最早出自哪里？,B,《黄帝内经》,《灵枢·卫气失常》,《伤寒杂病论》,《诸病源候论》,
下列说法不正确的是,D,新生儿期：从出生脐带结扎后满天,婴儿期：出生天后至周岁,婴儿期：出生天后至周岁,幼儿期：周岁后至周岁,
变蒸学说是古代医学阐述婴幼儿生长发育的一种学说，下列正确的是,C,始见于《黄帝内经》,始见于唐代孙思邈的《千金翼方》,始见于北宋钱乙《小儿药证直诀》,始见于西晋王叔和的《脉经》,
小儿脏腑娇嫩，是指小儿五脏六腑的行气皆不足，其中又以,A,脾、肾、心三脏不足更为突出,肺、脾、肝三脏不足更为突出,肺、脾、肾三脏不足更为突出,肺、肾两脏不足更为突出,
小儿脏腑娇嫩，行气未充，常表现为,A,肺脏娇嫩，脾常不足，肾常虚,脾胃不足,仅表现为脾不足,仅表现为肾虚,
古代提出“纯阳“，小儿生长发育，生机勃勃，发育迅速概括为“纯阳“之体的观点是,D,《颅囟经?脉法》,《伤寒杂病论》,《灵枢?卫气失常》,《黄帝内经》,
腓骨上端骨折之处，足下垂，小腿及足背外侧个足趾感觉障碍，提示,A,腓总神经损伤,胫神经损伤,股神经损伤,坐骨神经损伤,
下列哪项是椎动脉型颈椎病的主要临床症状,D,痛温觉分离，肌萎缩,四肢麻木，出现病理反射,颈肩痛反复发作，手部有放射性痛，牵拉试验阳性,头痛、头晕、颈后伸或侧弯时眩晕加重猝倒。,
下列哪项症状列属中医理论颈椎病气滞血瘀证型,B,颈、肩、上肢麻木、窜痛，以痛为主，头有沉重感，颈部僵硬，活动不利,颈、肩、上肢刺痛，痛处固定，伴有肢体麻木，舌暗，脉弦,头晕目眩，头重如裹，四肢麻木不仁，纳呆，舌暗红，舌苔厚腻，脉弦滑,眩晕，头痛，耳鸣耳聋，失眠多梦，肢体麻木，、面红目赤,
腰椎间盘突出症的最先出现、最常见的症状是,D,腰背痛,腰和大腿前方痛,坐骨神经痛,腰痛伴坐骨神经痛,
下列哪项症状列属中医理论腰椎间盘突出症湿热证型,A,腰腿冷痛重者，转侧不利，静卧痛不减，受寒及阴雨天加重,腰部疼痛，腿软无力，痛处伴有热感，恶热口渴,腰背酸痛，腿膝乏力，劳累更甚，卧则减轻,腰腿痛如刺，痛有定处，日轻夜重，痛处拒按,
下列关于颈椎病健康教育说法错误的是,A,应用颈托和围领可限制头颈活动，尤其是椎动型，可防止因过分旋转或屈伸发生晕厥，故可长期佩戴,注意颈部的保暖，忌吹风受寒或淋雨受湿,不做长时间的低头伏案工作，如织毛衣、打字、缝纫等。,睡眠时枕头不宜过高或过低，要睡硬板床,
下列关于牵引疗法的说法错误的是,C,牵引期间鼓励患者及时练习肌肉运动和指（趾）运动,经常检查针眼处有无感染,牵引期间牵引重量始终不变,经常巡视，是否做到有效牵引,
下列哪项症状列属中医理论颈椎病风寒湿证型,D,颈、肩、上肢麻木、窜痛，以痛为主，头有沉重感，颈部僵硬,颈、肩、上肢刺痛，痛处固定，伴有肢体麻木,头晕目眩，头重如裹，四肢麻木不仁,眩晕，头痛，耳鸣耳聋，失眠多梦，肢体麻木,
某中年患者眩晕，头痛，颈肩部时有疼痛，夜间失眠多梦，四肢麻木无力，面红耳赤，经医生诊断为颈椎病，请问此患者颈椎病列属中医哪一证型,B,风寒湿证,气滞血瘀证,肝肾不足证,气血亏虚证,
某一患者，经常在外作业，最近双腿疼痛，阴雨天尤甚，静卧痛不减，舌质淡，苔白或腻，经医生诊断为腰椎间盘突出症，请问此患者腰椎间盘突出症列属中医哪一证型,B,血瘀证,寒湿证,湿热证,肝肾亏虚,
便血，色鲜红，下血暴急呈喷射状，属于,C,气不摄血,湿热下注,肠风下血,瘀血阻络,
肛瘘的主要症状是,C,便血、脱出、流分泌物,便血、疼痛、便秘,肛周流脓、疼痛、瘙痒,肛门肿痛、坠胀、异物感,
按全国肛瘘统一标准分类法，划分高低位的标志是,D,外括约肌皮下部,外括约肌浅部,外括约肌深部,耻骨直肠肌,
某肛瘘患者，瘘管外口凹陷，周围颜色晦暗，脓出稀薄如米泔样，无硬索状物；可伴有潮热盗汗，心烦口干；舌红、少苔、脉细数。内治法可选方,C,二妙丸、萆薢渗湿汤加减,托里消毒散加减,青蒿鳖甲汤加减,龙胆泻肝汤加减,
某患者痔切除术后日，大便干结难解，以下哪种处理措施不当,A,使用开塞露,服用缓泻剂,灌肠,增加食物中纤维素摄入,
痔外静脉丛血管破裂，所形成的肛周圆形或椭圆形瘀血肿块，患者突感肛门部剧烈疼痛，肛缘皮下可扪及一触痛性肿物，呈暗紫色。称为,A,血栓性外痔,结缔组织性外痔,静脉曲张性外痔,炎性外痔,
某锁肛痔患者，证见：肛门坠胀，便次增多，大便带血，色泽暗红，夹有粘液，便下痢赤白，里急后重；舌红，苔黄腻，脉滑数。内治法可选方,B,槐角地榆丸加减,桃花四物汤和失笑散加减,四君子汤和增液汤加减,托里消毒散加减,
某患者，痔术后天，发生肛缘水肿，以下哪种处理方法不当,A,%硫酸镁液或%氯化钠液湿敷,延长坐浴熏洗时间,内服清热解毒利湿剂,外敷黄芩油膏,
内痔患者，证见：肛内肿物脱出，甚或嵌顿，肛管收缩，坠胀疼痛，甚至内有血栓形成，肛缘水肿，触痛明显；舌质红，苔白，脉弦细涩。内治法可选方,C,止痛如神汤加减,脏连丸槐角丸加减,凉血地黄汤加减,补中益气汤加减,
某患者，大便时可见痔核脱出，脱出后必须以手托之或卧床休息方可回纳，肛门镜检查：痔粘膜粗糙、质硬、纤变、可呈灰白色。判断该患者的内痔分期为,A,III期,II期,I期,II～III期,
蛇串疮常见证型不正确的是,B,肝经郁热证,脾虚湿蕴证,气滞血虚证,血热内蕴证,
白疕治法正确的是,C,气血瘀滞证——当归饮子加减,血热内蕴证——犀角地黄汤加减,血虚风燥证——桃红四物汤加减,湿毒蕴阻证——清瘟败毒饮加减,
是将单味药或复方加水煎熬至一定浓度，滤药渣所得的药液称为,B,粉剂,酊剂,溶液,洗剂,
针刺入腧穴后，针刺部位产生的酸、麻、胀、重等感觉和向远处传导放射，称为：,B,行针,得气,补泻手法,提插捻转法,
关于穴位注射，以下哪种说法是错误的,D,它是将针刺对腧穴的刺激作用和药物的药理作用结合在一起，发挥治疗作用,应注意药物的毒副作用及过敏反应，副作用大或者刺激性强的药物应慎用,内有重要脏器的部位不宜针刺过深，以免刺伤内脏,患者若有触电感，是得气的表现，可以注入药物,
失眠患者耳穴埋籽不适合选,D,神门,皮质下（脑）,肺,肾,
耳穴神门主治不包括,C,失眠多梦,便秘,各种炎症,镇静、镇痛,
中药煎汤后趁热在局部淋洗、浸泡、湿敷，称为,A,熏洗法,敷药法,溻渍法,药熨法,
青敷膏适用于,D,局部红肿热痛,跌打损伤引起的淤血肿痛,皮肤病欣痒肿痛,局部不红不热，漫肿无痛,
以下哪种情况不可选择灸法,B,疮疡久溃不敛,风湿性关节疼痛,月经不调,阴虚发热,
关于刮痧，以下说法不正确的是,B,体质过于消瘦有出血倾向者禁止刮痧,刮痧时应由内向外、自上而下反复来回刮，用力要均匀适中,每一部位宜刮下左右，以皮肤出现紫红色为宜,刮痧过程中应密切观察病人病情及局部皮肤颜色，并询问病人有无不适,
中医学“证”的概念是,D,疾病的症状与体征,对疾病症状与体征的调查过程,对疾病症状与体征的分析过程,疾病发展过程中某一阶段的病理概括,
属于“阳中之阳”的时间是,A,上午,中午,下午,前半夜,
五行中具有“润下”特性的是,D,木,火,土,水,
五行中，火的特性是,B,曲直,炎上,润下,从革,
五行中，木的特性是,D,润下,稼穑,炎上,曲直,
五脏生理功能的特点是,C,"传化物而不藏, 实而不能满","藏精气而不泻, 实而不能满","藏精气而不泻,满而不能实","传化物而不藏, 满而不能实",
藏神的是,A,心,肝,脾,肺,
与脾关系密切的是,C,喜,怒,思,忧,
“在窍为目”的是,A,肝,心,脾,肺,
“受盛之官”指,C,胆,胃,小肠,大肠,
“先天之本”是指,D,心,肝,脾,肾,
“后天之本”是指,C,心,肝,脾,肾,
心在志为,B,怒,喜,思,忧,
五脏有五华，则肺之华是,A,毛,发,爪,唇,
肺主一身之气体现在,C,吸入清气,宣发卫气,生成宗气和调节气机,助心行血,
以下哪种说法是错误的,B,肺主气，司呼吸,肺主升清,肺主通调水道,肺主治节,
脾统血的含义是,C,脾有推动血液在经脉中流行的作用,脾有调节经脉中血流量的作用,脾有统摄血液在经脉中运行的作用,脾有贮藏血液的作用,
具有主疏泄、调畅气机功能的主要脏腑是,D,心,肺,脾,肝,
下列不属于奇恒之腑的是,B,脉,筋,髓,骨,
以下说法错误的是,A,心其华在舌,肺其华在毛,肝其华在爪,脾其华在唇,
称为“水谷之海”的是,D,脾,大肠,小肠,胃,
下列“诸海”中错误的是,B,脑为髓之海,肺为气之海,冲脉为血海,胃为水谷之海,
六腑包括,D,胆、胃、大肠、小肠、女子胞、膀胱,胆、胃、大肠、小肠、三焦、女子胞,大肠、小肠、三焦、膀胱、心包、胆,小肠、胃、大肠、三焦、膀胱、胆,
具有营养全身和化生血液作用的气是,B,元气,营气,宗气,卫气,
导致人体生命死亡的根本病机是,C,阴阳偏盛,阴阳偏衰,阴阳离决,阴阳失调,
风邪致病具有发病急、变化快的特点，主要与其哪种性质相关,D,风为阳邪,风性轻扬,风性善行,风性数变,
最易导致“着痹”的邪气是,C,风邪,寒邪,湿邪,燥邪,
常引起筋脉拘挛，屈伸不利，易伤阳气的致病因素是,B,风邪,寒邪,湿邪,痰饮,
干咳少痰，或痰液胶粘难咯，多因感受哪种病邪,D,风邪,寒邪,暑邪,燥邪,
"湿邪致病具有病程长的特点,往往缠绵难愈，是由于",C,湿为阴邪,湿性重浊,湿性粘滞,湿性趋下,
最易侵犯人体上部和肌腠的外邪是,A,风邪,寒邪,湿邪,暑邪,
六淫中最易致肿疡的是,C,风邪,湿邪,火邪,燥邪,
"喜、怒、忧、思、恐等情志活动失调均可化火, 故称为",B,五气化火,五志化火,心火上炎,肝郁化火,
情志为病，过喜则,C,气上,气下,气缓,气结,
邪气亢盛，正气不衰的证候是,A,实证,虚证,虚实夹杂证,真虚假实证,
正治的定义是,C,顺从疾病的某些假象而治的一种治疗方法,正确的治疗法则,逆着疾病证候性质而治的一种治疗方法,扶助正气,
“热者寒之”属于,A,正治法,反治法,治标法,从治法,
除哪项外，均能体现“因人制宜”治则,B,因性别不同而用药各异,因居处环境不同而用药各异,团体质不同而用药各异,因年龄长幼不同而用药各异,
疠气最主要的致病特点是,D,发病急,病势重,症状相似,传染性强,
"瘀血形成之后可致疼痛, 其特点为",C,胀痛,掣痛,刺痛,灼痛,
正气强弱主要取决于,D,气候因素,地域因素,饮食习惯,体质与精神状态,
病的基本病理主要是指,A,阴阳失调,脏腑功能失调,经络功能失调,内生五邪病理变化,
中医治疗疾病的根本原则是,B,调整阴阳,治病求本,扶正祛邪,标本缓急,
下列除哪项外都是得神的表现,D,两目精彩,面色荣润,肌肉不削,面色潮红,
下列除哪项外皆可面见青色,A,虚证,痛证,寒证,惊风,
满面通红者多属于,C,戴阳证,虚热证,实热证,上热下寒证,
小儿食指脉络色鲜红为,D,实热证,虚热证,惊风证,外感表证,
望舌的顺序,A,先看舌体，再看舌苔,先看舌苔，再看舌体,舌体舌苔同时看,先看舌苔后看舌下络脉,
下列那项可见于正常人,D,胖大舌,淡嫩舌,淡白舌,裂纹舌,
"舌质红,苔黄腻,多见于",B,里热炽盛,湿热内蕴,阴虚火旺,寒湿阻滞,
下列除哪项外都是淡白舌主病,D,气血两虚,气虚,阳虚,阴虚,
日晡潮热可见于,B,阳明经证,阳明腑证,阴虚火旺,湿热内盛,
诊断表证的主要依据是,D,咳嗽,喷嚏,咽痛,恶寒发热,
自汗多因何引起,A,阳气不足,热邪过盛,阴虚火旺,阳气暴脱,
前额连及眉棱骨痛者病在,B,太阳经,阳明经,太阴经,少阳经,
滑数脉多见于,A,痰热内蕴证,肝阳上亢证,肝气郁结证,阴虚内热证,
患者面赤身热，口渴饮冷，烦躁不宁，尿黄便干，舌红苔黄，脉数。此属,B,表热证,里实热证,里虚热证,戴阳证,
中国第一部药典专著是,A,《新修本草》,《神农本草经》,《证类本草》,《本草纲目》,
生地黄制成熟地黄的目的是,B,消除毒性,改变药性,便于贮藏,增强药效,
宜文火久煎的药应除以下哪一类外,A,解表,补益药,贝壳类药,矿物类药,
具有“呕家圣药”之称的药是,D,香薷,紫苏,桂枝,生姜,
味辛性微温，治感冒风寒、发热恶寒，不论有汗、无汗 都可应用的药是,B,麻黄,桂枝,荆芥,薄荷,
素有发汗第一要药之称的是,A,麻黄,紫苏,桂枝,生姜,
既可用于肺热咳嗽，又可用于阴虚燥咳的药物是,B,石膏,知母,芦根,栀子,
治胃火牙痛应首选,D,生地,玄参,知母,石膏,
泻下通便药多为,C,辛味,咸味,苦味,甘味,
清利湿热、消褪黄疸的药物是,D,金钱草,黄柏,心脾肝肺,茵陈蒿,
善于下气除胀，为消胀除满之要药,A,厚朴,苍术,藿香,佩兰,
既能化湿行气又能安胎的药物是,D,厚朴,苍术,藿香,砂仁,
用于寒热虚实各种水肿的要药是,C,泽泻,猪苓,茯苓,车前子,
善治下半身风湿痹痛的药物,A,独活,羌活,桂枝,威灵仙,
木香的功效是,A,行气止痛,温中止呕,纳气平喘,调经止痛,
长于治疗油腻肉食积滞的药物是,C,麦芽,莱菔子,山楂,鸡内金,
下列哪项一般不宜使用川芎,D,风寒头痛,风热头痛,风湿头痛,阴虚阳亢头痛,
治疗冠心病、心绞痛，首选,A,丹参,郁金,延胡索,益母草,
功能化瘀止血，尤长于止痛，用于治瘀滞疼痛的药物,C,槐花,地榆,三七,白芨,
不宜与人参同用的药物,D,山楂,麦芽,神曲,莱服子,
善治风痰的药物是,B,桔梗,天南星,瓜娄,竹茹,
善于燥湿化痰，降逆止呕，为治湿痰之要药，并可治疗各种呕吐,A,半夏,天南星,枇杷叶,竹茹,
治咳喘的要药是,D,白果,桑叶,紫苏子,苦杏仁,
温里药都具有的功效是,B,温肾壮阳,温里散寒,温肝散寒,温胃止呕,
治肾阳虚证，附子常与何药相须为用,B,细辛,肉桂,五味子,沉香,
