Question,answer,A,B,C,D,E,分类,题型,,,
传染性单核细胞增多症气营两燔证的治法是,B,辛凉解表，清暑化湿,清气凉营，解毒化痰,清气凉营，泻火涤痰,清热化痰，通络散瘀,清热解毒，泻火涤痰,儿科学,单选,,,
患儿，11个月。出牙延迟，头颅方大，肋骨串珠，行走迟缓。证属,C,肾阳不足,肝肾阴虚,肾精亏损,脾气虚弱,肺气不足,儿科学,单选,,,
患儿，7 岁。全身浮肿，尿少或尿闭，头晕头痛，恶心呕吐，嗜睡，甚则昏迷，舌质淡胖，苔垢腻，脉弦。治疗应首选的方剂是,D,龙胆泻肝汤合羚角钩藤汤,五味消毒饮合小蓟饮子,己椒苈黄丸合参附汤,温胆汤合附子泻心汤,参附龙牡救逆汤合小蓟饮子,儿科学,单选,,,
患儿，5 岁。发热咳嗽3天。发热烦躁，咳嗽喘促，气急鼻扇，咯痰黄稠，喉间痰鸣，咽红肿，面色红赤，口渴欲饮，大便干结，小便短黄，舌质红，苔黄，脉滑数。应首选的方剂是,E,华盖散,麻杏石甘汤,人参五味子汤,黄连解毒汤合麻杏石甘汤,麻杏石甘汤合葶苈大枣泻肺汤,儿科学,单选,,,
患儿，5 岁。发热咳嗽7天。咳喘持久，低热盗汗，手足心热，干咳少痰，面色潮红，口干便结，舌红少津，苔少，脉细数。其治法是,D,清热解毒，泻肺开闭,清热涤痰，开肺定喘,辛温宣肺，化痰止咳,养阴清肺，润肺止咳,补肺益气，健脾化痰,儿科学,单选,,,
炸腮临床上最为常见的变证是,E,亡阴亡阳,水饮凌心,水毒内闭,心阳暴脱,邪陷心肝,儿科学,单选,,,
按公式计算，6岁小儿正常体重是,D,15kg,16kg,18kg,20kg,22kg,儿科学,单选,,,
患儿，6岁。时有尿频，小便清长，每晚尿床1次以上，面白少华，神疲乏力，肢冷畏寒，舌淡，苔白滑，脉沉无力。其诊断是,B,尿频，脾肾气虚,遗尿，肾气不足,遗尿，心肾失交,尿频，脾肾阳虚,遗尿，肺脾气虚,儿科学,单选,,,
奶麻好发年龄是,C,1~3个月,3~6个月,6~18个月,18~24个月,3岁以上,儿科学,单选,,,
患儿，3岁。体重13kg，自人幼儿园2个月来，食欲不振，面色少华，偶尔多食后则脘腹饱胀，恶心，精神尚可，二便调，舌苔薄腻。其治法是,E,消食导滞，理气行滞,健脾益气，开胃助运,滋脾养胃，佐以助运,疏肝开郁，理气助运,调和脾胃，运脾开胃,儿科学,单选,,,
不属于推拿疗法治疗的疾病是,C,斜颈,腹痛,紫癜,痿证,泄泻,儿科学,单选,,,
水肿水凌心肺证的治法是,B,泻肺逐水，清心泻火,泻肺逐水，温阳扶正,泻肺逐水，止咳平喘,平肝泻火，清心利水,止咳平喘，温阳扶正,儿科学,单选,,,
时疫感冒证应首选的方剂是,E,荆防败毒散,新加香薷饮,银翘散合黄连解毒汤,银翘散合清瘟败毒散,银翘散合普济消毒饮,儿科学,单选,,,
病毒性心肌炎的发病内因是,B,痰瘀内阻,正气亏虚,外感风温邪毒,湿热邪毒侵袭,饮食内滞,儿科学,单选,,,
治疗急惊风湿热疫毒证应首选的方剂是,B,羚角钩藤汤,黄连解毒汤合白头翁汤,清瘟败毒饮,普济消毒饮,白虎汤合紫雪丹,儿科学,单选,,,
患儿，6 岁。反复外感，面黄少华，形体消瘦，肌肉松软，少气懒言，气短，自汗多汗，食少纳呆，大便不调，舌质淡，苔薄白，脉无力。其治法是,D,调和营卫，益气固表,温补肾阳，健脾益气,养阴润肺，益气健脾,补肺固表，健脾益气,健脾益气，养阴益胃,儿科学,单选,,,
治疗小儿传染性单核细胞增多症湿热蕴滞证，应首选的方剂是,B,温胆汤,甘露消毒丹,银翘散,涤痰汤,龙胆泻肝汤,儿科学,单选,,,
"患儿,3岁。壮热口渴,烦躁哭闹,疹色鲜红, 部分紫暗, 疹点稠密, 皮疹融合成片, 皮肤猩红, 小便短赤, 大便秘结, 舌红苔黄, 脉数有力。其病机是",B,邪犯肺卫,邪入气营,邪热入血,血热夹瘀,血热妄行,儿科学,单选,,,
患儿，9岁。紫搬时发时止，低热，盗汗，心烦少寐，小便黄赤，大便干燥，舌光红，苔少，脉细数。其证候是,A,阴虚火旺,气滞血瘀,风热伤络,血热妄行,气不摄血,儿科学,单选,,,
下列各项，有关鹅口疮的预防与调护，错误的是,E,孕妇注意个人卫生，患阴道霉菌病者要及时治愈,注意口腔清洁，婴儿奶具要消毒,注意小儿营养，积极治疗原发病,注意观察口腔黏膜白屑变化，如发现患儿吞咽或呼吸困难，应立即处理,可长期应用抗生素或肾上腺皮质激素辅助治疗,儿科学,单选,,,
麻疹疹点先见于的部位是,E,头面,颈部,胸腹,四肢,耳后发际,儿科学,单选,,,
患儿，3岁。发热，咳嗽，咳声嘶哑如犬吠状，其诊断是,E,咽炎,感冒,哮喘,顿咳,急喉风,儿科学,单选,,,
下列各项，不属小儿的病理特点的是,D,发病容易,传变迅速,易趋康复,脏腑娇嫩,脏气清灵,儿科学,单选,,,
患儿，2岁。流涕，喷嚏，咳嗽1天，次日高热，于体温骤升时突然发生惊厥，咽喉红赤，苔薄黄，指纹浮紫于气关。其证候是,C,风热感冒,邪陷心肝,风热动风,气营两燔,湿热疫毒,儿科学,单选,,,
小儿指纹色青紫，其证是,A,瘀热内结,外感风寒,外感风热,内有虚寒,邪热郁滞,儿科学,单选,,,
患儿，15天。口内舌上白屑成片，烦躁多啼。其诊断是,E,马牙,口糜,白喉,口疮,鹅口疮,儿科学,单选,,,
"患儿,1岁。突然发热,T37.8C,伴咳嗽, 流涕, 纳差;1天后口腔硬腭、颊部黏膜出比疱疹, 2 天后出现米粒大小皮疹, 以手、足、臀部为主, 部分为疱疹, 质地较硬, 内有混浊液体,周围绕有红晕。其诊断是",E,水痘,风痧,奶麻,丹痧,手足口病,儿科学,单选,,,
麻疹收没期的皮肤特点是,E,无色素沉着及脱屑,"无色素沉着, 有大片脱皮","有色素沉着, 无脱屑","有色素沉着, 少有脱皮","有色素沉着, 并有麦麸状细微脱屑",儿科学,单选,,,
患儿，5 岁。咳嗽4 天。咳声重浊，痰多壅盛，色白清稀，胸闷纳呆，困倦乏力，舌淡红，苔白腻，脉滑。其证候是,E,风寒咳嗽,风热咳嗽,风燥咳嗽,痰热咳嗽,痰湿咳嗽,儿科学,单选,,,
炸腮的肿胀部位是,E,颌下,颈前,耳后,面颊部,以耳垂为中心,儿科学,单选,,,
"患儿,5岁。麻疹第5天,壮热持续,起伏如潮、烦躁不安、目赤眵多、皮疹布发、疹点逐渐稠密,皮疹凸起,触之碍手,压之退色,大便干结, 小便短少, 舌质红赤, 舌苔黄腻, 脉数有力。其证候是",C,邪犯肺卫,邪毒闭肺,邪入肺胃,邪毒攻喉,阴津耗伤,儿科学,单选,,,
尿频脾肾气虚证的症状特点是,B,病程长，小便频数，尿急，尿痛,病程长，小便频数，滴沥不尽，纳差畏寒,病程长，小便频数短赤，五心烦热,起病急，小便频数，滴沥不尽，小腹坠胀,病程长，小便频数，尿液混浊,儿科学,单选,,,
奶麻好发季节是,A,冬春,春夏,夏秋,秋冬,盛夏,儿科学,单选,,,
营养性缺铁性贫血肝肾阴虚证症见,C,面色苍白，唇甲色淡，头晕心悸,面色苍黄，纳呆消瘦，大便不调,面色苍白，头晕目眩，四肢震颤,面色白，精神萎靡，四肢不温,面色苍白，形体消瘦，发黄稀疏,儿科学,单选,,,
丹痧毒炽气营证的治法是,A,"清气凉营, 泻火解毒","清热解毒, 软坚消肿","养阴益气, 清解余邪","辛凉宣透, 清热利咽","辛凉透表, 清宣肺卫",儿科学,单选,,,
小儿出生时正常头围是,A,33～34cm,36～38cm,42cm,46cm,48cm,儿科学,单选,,,
治疗尿频湿热下注证，应首选的方剂是,A,八正散,缩泉丸,菟丝子散,龙胆泻肝汤,桑螵蛸散,儿科学,单选,,,
急惊风的“四证”是指,B,风、火、积、热,风、痰、热、惊,痰、积、惊、热,惊、热、痰、火,痰、火、积、热,儿科学,单选,,,
患儿，6岁。突然出现小便频数短赤，尿道灼热疼痛，尿液淋沥混浊，小腹坠胀，腰部酸痛，伴有发热，烦躁口渴，甚有恶心呕吐，舌质红，苔黄腻，脉数有力。治疗应首选的方剂是,B,龙胆泻肝汤,八正散,缩泉丸,桑螵蛸散,知柏地黄丸,儿科学,单选,,,
小儿反复呼吸道感染病位主要在肺，常涉及的脏腑是,A,脾肾,心肝,脾胃,肝肾,心肾,儿科学,单选,,,
治疗蛔虫病肠虫证，应首选的方剂是,A,使君子散,化虫丸,追虫丸,乌梅丸,驱虫粉,儿科学,单选,,,
患儿，5岁。大便秘结，欲便不得，甚或胸胁痞满，腹胀疼痛，嗳气频作，舌质红，苔薄白，脉弦。治宜,C,消积导滞通便,清热润肠通便,理气导滞通便,益气润肠通便,养血润肠通便,儿科学,单选,,,
风痧邪犯肺卫证的治法是,B,辛凉宣肺透表,疏风清热透疹,辛温解表,清热解毒,调和营卫,儿科学,单选,,,
风痧的主要临床特征是,D,热退疹出,口腔黏膜斑,口周苍白圈,耳后、枕后淋巴结肿大,丘疹、疱疹、结痂同时存在,儿科学,单选,,,
小儿咳嗽的主要内因是,A,肺脾虚弱,肝肾阴虚,肺肾两虚,肝脾不和,心脾两虚,儿科学,单选,,,
治疗咳嗽风寒咳嗽证，应首选的方剂是,E,三拗汤,华盖散,麻杏石甘汤,小青龙汤,金沸草散,儿科学,单选,,,
壮热，肤布疹点，舌绛如草莓者的疾病是,D,麻疹,风痧,奶麻,丹痧,瘾疹,儿科学,单选,,,
气虚便秘的治法为,D,消积导滞通便,清热润肠通便,理气导滞通便,益气润肠通便,养血润肠通便,儿科学,单选,,,
患儿，3岁。体重11kg，身高93cm，精神好，食欲差。应首先考虑的诊断是,E,佝偻病,肥胖症,侏儒症,解颅,营养不良,儿科学,单选,,,
下列对哮喘的描述错误的是,B,反复发作,痼疾难愈,发作可由异物过敏引起,可因呼吸道感染而诱发,发作时呼吸困难，呼气延长，伴有哮鸣音,儿科学,单选,,,
按公式计算，10个月婴儿正常体重是,C,8kg,8.5kg,9kg,9.5kg,9.8kg,儿科学,单选,,,
过敏性紫癜皮疹的常见部位是,E,头面部,四肢,躯干,四肢及头面部,下肢伸侧及臀部,儿科学,单选,,,
治疗小儿传染性单核细胞增多症湿热壅滞证，应首选的方剂是,D,消风散,止痉散,白虎汤,甘露消毒丹,清瘟败毒饮,儿科学,单选,,,
水痘的基本治疗原则是,E,清热宣肺利湿,健脾益气利湿,宣肺化痰利湿,益气温阳利湿,清热解毒利湿,儿科学,单选,,,
小儿咳嗽外感风寒证的主要症状是,E,干咳无痰，咽痒声嘶,咳嗽不爽，痰黄黏稠,咳声重浊，痰白清稀,咳声重浊，痰多壅盛，色白而稀,咳嗽频作，声重咽痒，咳痰清稀,儿科学,单选,,,
患儿，2岁。发热重，体温 38.8℃，有汗或少汗，头痛，鼻塞，流浊涕，喷嚏，咳嗽，咽红肿痛，舌质红，苔薄黄，指纹浮紫。应首选的方剂是,B,桑菊饮,银翘散,大柴胡汤,荆防败毒散,新加香薷饮,儿科学,单选,,,
痄腮邪犯少阳证的治法是,A,疏风清热，散结消肿,清热解毒，软坚散结,清热凉血，散瘀消肿,辛凉解表，软坚散结,清肝泻火，活血止痛,儿科学,单选,,,
丹痧邪侵肺卫证的治法是,D,"清气凉营, 泻火解毒","清热解毒, 软坚消肿","养阴益气, 清解余邪","辛凉宣透, 清热利咽","辛凉透表, 清宣肺卫",儿科学,单选,,,
乳蛾肺胃阴虚证应首选的方剂是,C,银翘马勃散,牛蒡甘桔汤,养阴清肺汤,普济消毒饮,荆防败毒散,儿科学,单选,,,
患儿，5 岁。反复外感，面白颧红少华，食少纳呆，口渴，盗汗自汗，手足心热，大便干结，舌质红，苔花剥，脉细数。其治法是,C,调和营卫，益气固表,温补肾阳，健脾益气,养阴润肺，益气健脾,补肺固表，健脾益气,健脾益气，养阴益胃,儿科学,单选,,,
"愿儿，6岁。因左腮部肿痛3天，抽搐1次就诊。现症见发热,耳下腮部漫肿，神昏，嗜睡，项强，呕吐，舌红，苔黄脉弦数。治疗应首选的方剂是",E,仙方活命饮,普济消毒饮,黄连解毒汤,羚角钩藤汤,清瘟败毒饮,儿科学,单选,,,
治风寒腹痛，炒热后布包熨腹部的中药是,C,肉桂,干姜,吴茱萸,延胡索,白芥子,儿科学,单选,,,
治疗肺炎喘嗽痰热闭肺证应首选的方剂是,E,大青龙汤,麻杏石甘汤,麻杏石甘汤合苏葶丸,黄连解毒汤合麻杏石甘汤,麻杏石甘汤合葶苈大枣泻肺汤,儿科学,单选,,,
"患儿，1岁。体重7.2kg,面色无华，精神萎靡不振，不思饮食，腹膨如鼓，一身浮肿，双踝肿甚，按之凹陷，舌质淡，苔薄白，指纹淡。其治法是",D,补益气血，佐以运脾,养血柔肝，活血化瘀,滋阴生津，养血安神,健脾温阳，利水消肿,调脾健运，开胃进食,儿科学,单选,,,
恒牙正常开始萌出的时间是,A,6岁,8岁,10岁,12岁,15岁,儿科学,单选,,,
麻疹的主要临床特征是,B,热退疹出,口腔黏膜斑,口周苍白圈,耳后、枕后淋巴结肿大,丘疹、疱疹、结痂同时存在,儿科学,单选,,,
"患儿，7岁。气喘，喉间哮鸣，咳嗽痰壅，痰黏色黄难咯，胸闷，呼吸困难，流涕黄稠,烦躁不宁，大便干，咽红、舌质红，苔黄腻，脉滑数。其证候是",B,寒性哮喘,热性哮喘,外寒内热证,肺实肾虚证,肺脾气虚证,儿科学,单选,,,
治疗肺炎喘嗽风寒闭肺证，应首选的方剂是,B,三拗汤,华盖散,麻杏石甘汤,小青龙汤,金沸草散,儿科学,单选,,,
上述各项，属解颅临床特征,D,苦笑面容,前囟凹陷,三凹征,落日状,多汗夜惊，烦躁不安发稀枕天,儿科学,单选,,,
"治疗水痘邪炽气营证, 应首选的方剂是",C,柴葛解肌汤,宣毒发表汤,清胃解毒汤,清瘟败毒饮,五味消毒饮,儿科学,单选,,,
肺炎喘嗽症见恶寒发热，头身痛，无汗，鼻塞流清涕，呼吸气急，痰稀色白。其病机是,A,风寒闭肺,风热闭肺,毒热闭肺,肺脾气虚,痰热闭肺,儿科学,单选,,,
尿频脾肾气虚证的治法是,C,健脾益气，温肾固摄,益肺健脾，固涩膀胱,温补脾肾，升提固摄,滋阴补肾，固涩小便,健脾补肾，通利膀胱,儿科学,单选,,,
痱腮的病位主要是,B,太阳经脉,少阳经脉,阳明经脉,太阴经脉,少阴经脉,儿科学,单选,,,
男孩，8 岁。症见多动多语，冲动任性，难于制约，注意力不集中，胸中烦热，懊侬不眠，便秘尿赤，舌质红，苔黄腻，脉滑数。治疗应首选方剂是,E,龙胆泻肝汤,泻心导赤散,泻心汤,清心涤痰汤,黄连温胆汤,儿科学,单选,,,
水痘邪伤肺卫证的治法是,B,"宣肺解毒, 利湿清热","疏风清热, 利湿解毒","疏风解表, 清热宣肺","辛凉解表, 清热渗湿","清热渗湿, 解毒凉营",儿科学,单选,,,
佝偻病的病机主要是,A,脾肾虚亏,心肝血虚,肝肾阴虚,肝风阴虚,肺脾两虚,儿科学,单选,,,
腹痛常用辨证思路不包括,D,辨病位,辨寒热,辨虚实,辨年龄,分轻重,儿科学,单选,,,
"治疗手足口病湿热壅盛证,应首选的方剂是",E,透疹凉解汤,清胃解毒汤,宣毒发表汤,清解透表汤,清瘟败毒饮,儿科学,单选,,,
疳肿胀的病位是,A,脾肾,肝脾,心脾,脾肺,脾胃,儿科学,单选,,,
患儿，2岁。起病1天，发热，口颊、齿龈见多个溃疡点，周围掀红，口臭流涎，舌红，苔黄。应首选方剂是,D,导赤散,泻黄散,清胃散,凉膈散,银翘散,儿科学,单选,,,
丘疹、疱疹、结痂并见，疱疹内有水液色清的疾病是,B,脓疱疮,水痘,奶麻,丹痧,瘾疹,儿科学,单选,,,
患儿，5 岁。突然壮热，神志昏迷，烦躁谵妄，反复抽搐，惊厥不已，呕吐腹痛，大便夹脓血，舌质红，苔黄腻，脉象滑数。治疗应首选的方剂是,C,羚角钩藤汤,普济消毒饮,黄连解毒汤合白头翁汤,白虎汤合玉枢丹,清瘟败毒饮,儿科学,单选,,,
下列各项，不属小儿的生理特点的是,C,行气未充,生机蓬勃,易趋康复,脏腑娇嫩,发育迅速,儿科学,单选,,,
小儿生长发育最快的时期是,B,新生儿期,婴儿期,幼儿期,学龄前期,学龄期,儿科学,单选,,,
小儿风热感冒与风寒感冒的鉴别要点是,C,恶风发热,恶寒发热,咽红肿痛,咳嗽不爽,咳嗽频作,儿科学,单选,,,
患儿，3 岁半。面色潮红，身热消瘦，手足心热，肢体拘挛或强直，时或抽搐，大便干结，舌光无苔，质绛少津，脉象细数。治疗应首选的方剂是,A,大定风珠,地黄饮子,大补阴丸,理中汤,四逆汤,儿科学,单选,,,
