Question,answer,A,B,C,D,E,
银翘散证出现衄者，其加减法为,B,去芥穗，加白茅根、侧柏碳、栀子碳、粉丹皮,去芥穗、豆豉，加白茅根、侧柏炭、栀子炭,去芥穗、桔梗，加白茅根、侧柏炭、栀子炭,去芥穗、桔梗，加白茅根、侧柏炭、粉丹皮,去芥穗、豆豉，加白茅根、侧柏炭、粉丹皮,
下列除哪项外，均是吴鞠通所谓的白虎汤应用禁忌：,E,脉浮弦而细者,脉沉者,不渴者,汗不出者,不大便者,
邪热入营的清营汤证 “反不渴” 是因为：,D,邪热不甚,兼有痰邪,兼有瘀血,邪热蒸腾营阴上泛,热扰心神而不觉,
吴鞠通认为上焦温病常见两种死证是：,A,肺之化源绝者和心神内闭，内闭外脱者,逆传心包者和心神内闭，内闭外脱者,逆传心包者和肺之化源绝者,阳明太实，土克水者和肺之化源绝者,阳明太实，土克水者和逆传心包者,
三仁汤中的“三仁”是指,C,杏仁、桃仁、苡仁,桃仁、苡仁、蔻仁,苡仁、蔻仁、杏仁,蔻仁、杏仁、桃仁,以上都不是,
三仁汤中用“杏仁”主要是取其什么作用：,C,止咳平喘,化痰散湿,轻开上焦肺气,润肺止咳,润肠通便,
湿温初起而见“胸闷不饥”的主要原因是,B,胃肠有积滞,湿热阻滞中焦气机,中气实,胃强脾弱,中气虚,
症见“头痛恶寒，身重疼痛，舌白不渴，脉弦细而濡，面色淡黄，胸闷不饥，午后身热，状若阴虚，病难速已”者，其病为,D,风温,春温,暑湿,湿温,伏暑,
“手太阴暑温”初起，“但汗不出者”表明,B,暑热不甚,兼有寒邪郁表,兼有湿邪郁表,病从里发,暑热郁表,
吴鞠通认为“温病最忌辛温，暑病不忌”，是因为：,A,暑必兼湿,暑必兼寒,暑必兼痰,暑必伤阳,以上都不是,
“阳明温病，下之不通”，若兼见“喘促不宁，痰涎壅滞，右寸实大”的表现，说明其病机兼有：,B,正虚不能运药,肺气不降,火腑不通,邪闭心包,无水舟停,
“阳明温病，下之不通”，若兼见“左尺牢坚，小便赤痛，时烦渴甚”的表现，说明其病机兼有：,C,正虚不能运药,肺气不降,火腑不通,邪闭心包,无水舟停,
牛黄承气汤的药物组成是：,E,牛黄加大承气汤,牛黄加小承气汤,安宫牛黄丸加大承气汤,安宫牛黄丸加小承气汤,安宫牛黄丸加生大黄,
增液承气汤的药物组成是：,D,增液汤加大承气汤,增液汤加小承气汤,增液汤加调味承气汤,增液汤加大黄、芒硝,增液汤加大黄,
“三焦湿郁，升降失司，脘连腹胀，大便不爽”者，治宜选用：,A,一加减正气散,二加减正气散,三加减正气散,四加减正气散,五加减正气散,
认为导致湿温的原因是“内不能运水谷之湿，外复感时令之湿”的医家是谁：,D,叶天士,薛生白,雷少逸,吴鞠通,吴又可,
对于湿温的治疗，哪部著作指出“徒清热则湿不退，徒祛湿则热愈炽”：,A,《温病条辨》,《温热论》,《湿热病篇》,《温热经纬》,《温疫论》,
因“吸受秽湿”，而症见“热蒸头胀，身痛呕逆，小便不通，神识昏迷，舌白，渴不多饮”者，辨证为,B,湿热酿痰，蒙蔽心包,湿热弥漫三焦,湿热郁伏膜原,湿热困阻中焦,湿热闭阻下焦,
一老年患者，体弱多病，感冒后出现恶寒发热，头痛鼻塞，倦怠无力，气短懒言，反复发作，恶风，易汗出，舌质淡，苔薄白，脉浮而无力。治疗首选方剂是：,A,参苏饮,银翘散,葱豉汤,加减葳蕤汤,麻杏石甘汤,
一患者咳嗽，干咳，连声作呛，咳嗽无痰，咽喉干痒，唇鼻干燥，咳甚则胸痛，口干，舌质红，苔薄黄而燥，脉浮数。中医病证属于：,B,肝火犯肺,风燥伤肺,痰热郁肺,风寒闭肺,痰湿蕴肺,
《金匮要略•肺痿肺痈咳嗽上气病脉证治》曰：“咳而上气，喉中水鸡声，射干麻黄汤主之”。该方剂适用于下列哪一病证：,A,寒哮,热哮,浊哮,风哮,肺痈,
治疗风寒闭肺型喘证的首选方剂是：,D,麻杏石甘汤,桑白皮汤,定喘汤,麻黄汤,二陈汤,
肺痈整个病程中，未成脓时应着重下列哪项治法：,B,化瘀排脓解毒,清热解毒消痈,排脓解毒散邪,益气养阴解毒,益气健脾化痰,
支饮症见：咳喘胸满不得卧，痰清稀，白沫量多，面浮肢肿，经久不愈，每遇寒而作，兼见身痛。舌质淡胖有齿痕，舌苔白滑，脉沉细。治疗首选方剂是：,B,己椒苈黄丸,小青龙汤,十枣汤,苓桂术甘汤,泻白散,
归脾丸常用于哪种心悸病证的治疗：,E,心阳不振,肝肾阴亏,阴虚火旺,心虚胆怯,心脾两虚,
一患者胸部刺痛，固定不移，入夜尤甚，伴心悸，头晕，舌质紫暗，有瘀斑，脉薄白，脉沉涩。治疗首选方剂是：,B,栝蒌薤白半夏汤,血府逐瘀汤,栝蒌薤白白酒汤,生脉散,参附汤,
咳嗽症见：咳嗽痰多，咳声重浊，痰白粘腻，每于晨间咳痰尤甚，因痰而嗽，痰处则咳缓，伴脘痞，呕恶，纳呆，腹胀，大便时溏，舌苔白腻，脉濡滑。辨为何证型：,C,风热犯肺,风寒袭肺,痰湿壅肺,风燥伤肺,肝火犯肺,
一痢疾患者，表现为：腹痛拘急，痢下赤白脓血，里急后重，赤多白少，或纯为赤冻，肛门灼热，小便短赤，口渴发热，舌质红，舌苔微黄腻，脉滑数。治疗首选方剂是：,D,不换金正气散,桃花汤,附子理中汤,芍药汤,胃苓汤,
治疗失眠下列哪一证型首选归脾汤：,D,肝郁化火,心胆气虚,阴虚火旺,心脾两虚,痰热内扰,
一患者近一周出现发热，微恶寒，汗出不畅，头痛，鼻塞，鼻流黄浊涕，口干而咳，咽喉红肿疼痛，咳嗽，痰黄粘稠，舌苔薄黄，脉浮数。治疗首选方剂是：,E,麻黄汤,荆防败毒散,桂枝汤,参苏饮,银翘散,
肝火上炎所致鼻衄治疗首选方剂是：,D,银翘散,玉女煎,黄连温胆汤,栀子清肝汤,泻白散,
一患者尿血数月，食少乏力，气短声低，面色苍白，兼见皮肤瘀斑，齿龈有出血，舌质淡，苔薄白，脉细弱。治疗首选方剂是：,C,加减清胃散,栀子清肝汤,归脾汤,知柏地黄丸合茜根散,龙胆泻肝汤,
导痰汤是治疗哪一厥证的首选方剂是：,D,食厥,血厥,气厥,痰厥,暑厥,
脾胃虚寒型胃痛治疗的首选方剂是：,B,芍药甘草汤,黄芪建中汤,丹参饮,柴胡疏肝散,泻心汤,
治疗痞满之饮食积滞证，应首选下列哪一方剂：,D,大黄黄连泻心汤,补中益气汤,二陈汤合桑白皮汤,保和丸,四逆散合越鞠丸,
一患者受凉后突然出现呕吐，发热恶寒，头身疼痛，胸脘满闷，不思饮食，舌苔白，脉濡缓。治疗首选方剂：,E,保和丸,小半夏汤合苓桂术甘汤,香砂六君子汤,麦门冬汤,藿香正气散,
呃逆证见：呃声洪亮有力，口臭烦渴，多喜冷饮，脘腹满闷，大便秘结，小便短赤，舌苔黄燥，脉滑数。可辨证为哪一型：,B,胃寒气逆,胃火上逆,气滞痰阻,脾胃阳虚,胃阴不足,
在哮病中治疗热哮的首选方剂是：,C,葶苈大枣泻肺汤,桂枝加厚朴杏子汤,定喘汤,射干麻黄汤,二陈汤合三子养亲汤,
一女性患者半年前因与他人生气后进食，引起脘腹痞满不舒，胸胁胀满，嗳气不舒，心烦易怒，善太息，此后常因情志不舒而加重，苔薄白，脉弦。治疗首选方剂是：,A,四逆散合越鞠丸,大黄黄连泻心汤,保和丸,二陈汤,补中益气汤,
痫病休止期脾虚痰盛型，治疗首选方剂是：,D,龙胆泻肝丸,大补元煎,黄连温胆汤,六君子汤,五生饮,
心烦多梦，易于惊醒，平时胆怯恐惧，遇事易惊，心悸气短，倦怠，小便清长，易疲劳，舌质淡，苔薄白，脉弦细。治疗首选方剂是：,A,安神定志丸,龙胆泻肝汤,归脾汤,黄连阿胶汤,酸枣仁汤,
一女性患者，生气后引起脘腹胀痛，攻窜两胁，走窜疼痛，时聚时散，得嗳气、矢气则舒，遇忧思恼怒则加剧，舌苔薄白，脉弦。治疗首选方剂：,E,大柴胡汤,小建中汤,良附丸,枳实导滞丸,柴胡疏肝散,
肾阳虚衰型泄泻的特点是：,E,腹痛即泻，泻后痛减,泻下物臭秽，肛门灼热,嗳腐酸臭，泻后痛减,泻下清稀，甚如水样,黎明前泻，完谷不化,
古代医籍中可见“肠澼”、“滞下”的病名，是以下哪种疾病的别名：,C,霍乱,胃痛,痢疾,噎膈,痞满,
一老人大病后出现便秘，虽有便意，临厕是努挣乏力，难以排出，便质并不干结，伴后汗出乏力，气短神疲，舌质淡，苔薄白，脉细弱。治疗首选方剂是：,B,济川煎,黄芪汤,六磨汤,麻子仁丸,大承气汤,
阴寒凝滞型心痛的主要特征是：,C,胸闷痛如窒，痛引肩背,胸部刺痛，固定不移,胸痛如绞，感寒痛甚,胸闷隐痛，时作时止,胸闷灼痛，心悸心烦,
一患者胃脘胀痛，连及两胁，攻撑走窜，每因情志不遂而加重，喜太息，纳少，精神抑郁，舌苔薄白，脉弦。中医辨证属：,C,脾胃虚寒,胃气壅滞,肝胃气滞,肝胃郁热,胃阴亏虚,
一患者受凉后出现呃逆，呃声连连，沉缓有力，遇寒愈甚，舌质淡，苔白滑，脉迟缓，可辨为哪一型呃逆：,E,脾胃阳虚型,胃阴不足型,气滞痰阻型,胃火上逆型,胃寒气逆型,
感冒之病名，首见于(    )。,A,《仁斋直指方》,《诸病源候论》,《内经》,《伤寒论》,,
感冒的病因以(    )为首。,A,风邪,寒邪,湿邪,燥邪,,
感冒的特征性症状主要是(    )。,C,恶寒发热,咽喉肿痛,鼻塞喷嚏流涕,头痛身痛,,
下列(    )不是时行感冒的临床特征。,A,舌苔腐浊,症状重、起病急,传染力强,多属风热,,
患者鼻塞声重、喷嚏流涕、身热不扬、头重身倦无汗、纳呆口淡、脉濡，治疗此症宜选用(    )。,D,参苏饮,葱豉汤,麻黄汤,羌活胜湿汤,,
某男，45岁，感冒5天，发热恶寒、鼻塞声重、周身酸痛、无汗口渴、咽痛、咳嗽气急、痰黄粘稠、舌苔薄白、脉浮数，证属(    )。,B,风寒化热,表寒里热,风热袭肺,痰热壅肺,,
感冒表寒里热的治法是(    )。,D,辛凉解表、清肺透热,疏风宣肺、清热解毒,辛温解表、宣肺散寒,疏风宣肺、散寒清热,,
患者发热头痛、恶寒无汗、鼻塞咳嗽、肢节酸痛、舌苔白、脉浮紧，宜选用(    )。,C,葱豉汤,羌活胜湿汤,荆防败毒散,麻黄汤,,
风热感冒宜选用(    )。,B,麻杏石甘汤,银翘散    ,桑杏汤,香薷饮,,
发热、微恶风寒、有汗、鼻塞喷嚏、咽喉疼痛、咳嗽痰稠、苔薄黄、脉浮数，治宜(    )。,D,清热解表，止咳化痰,辛温解表，宣肺散寒   ,疏风宣肺，解表清里,辛凉解表，宣肺清热,,
风热感冒发热较重者，宜加用(    )。,B,板兰根、玄参,黄芩、石膏、大青叶    ,桑叶、菊花,黄芩、知母、瓜蒌,,
暑湿感冒的治法是(    )。,D,辛凉解表、清热燥湿,辛温解表、芳香化湿,清热利湿、清暑益气,清暑祛湿解表,,
身热、汗出不畅、鼻塞流涕、胸闷欲呕、身重倦怠、舌苔黄腻、脉濡数，宜选方为(    )。,A,新加香薷饮,桂枝汤     ,加减葳蕤汤,清络饮,,
反复感冒、恶寒重、发热轻、鼻塞流涕、头痛汗出、倦怠乏力、气短、咳嗽、咳痰无力、舌淡苔薄白、脉浮无力，选方宜用(    )。,D,补中益气汤,黄芪桂枝扬,玉屏风散,参苏饮,,
患者微恶风寒、身热少汗、头昏心烦、口干、干咳少痰、鼻塞流涕、舌红少苔、脉细数，此属(    )。3.,A,阴虚感冒,内伤发热     ,风热感冒,风热感冒邪热伤津,,
我国第一部研究外感热病的专著是(    )。,B,《内经》,《伤寒论》,《温热经纬》,《温病条辨》,,
认为外感热病的病因病机主火热病邪的医家是(    )。,A,刘完素,张元素     ,朱丹溪,吴有性,,
外感发热的病理性质为(    )。,B,阴津不足,阳气亢奋     ,外感六淫,感受疫毒,,
外感发热的辨证要点是(    )。,D,辨病邪性质,辨病位,辨病势,辨热型,,
暑热病邪所致发热的特点是(    )。,C,恶寒发热,潮热     ,壮热,不规则热,,
肺系邪热所致外感发热的热型是(    )。,C,恶寒发热,寒热往来     ,壮热,潮热,,
脾胃湿热证治宜清热利湿，运脾和胃，宜选方为(    )。,A,王氏连朴饮,三仁汤,清胃散,藿朴夏苓汤,,
大肠湿热证治以清利湿热，方用(    )。,B,芍药汤,葛根芩连汤     ,白头翁汤,黄芩汤,,
治疗膀胱湿热证的主方是(    )。,B,王氏连朴饮,八正散     ,导赤散,竹叶石膏汤,,
患者壮热胸痛、咳嗽、痰黄稠、口干、舌红、苔黄、脉数，宜选用(    )。,A,麻杏石甘汤,银翘散     ,清金化痰汤,加味泻白散,,
患者壮热口渴、汗出、面赤心烦、舌红、苔黄、脉洪大有力，宜选用(    )。,D,大承气汤,银翘散,普济消毒饮,白虎汤,,
患者寒热往来、胸胁苦满、口苦、便秘、舌红、苔黄腻、脉弦数，宜选用(    )。,C,小柴胡汤,小承气汤     ,大柴胡汤,大承气汤,,
湿阻的辨证要点是(    )。,B,分辨虚实,分清寒热     ,起病缓急,是否传变,,
“治湿不知理脾，非其治也”，出自(    )。,D,《金匮要略》,《景岳全书》,《温病条辨》,《证治汇补》,,
患者肢体困重、胸闷腹胀、口中粘腻无味、苔白腻、脉濡滑，宜选用(    )。,C,荆防败毒散,参苓白术散,藿香正气散,补中益气汤,,
湿阻病湿困脾胃型，若腹胀便溏者，可合用何方以增强健脾燥湿的作用(    )。,A,平胃散,二陈汤     ,五苓散,四君子汤,,
湿阻病湿困脾胃型的治法是(    )。,D,健脾利湿,苦寒燥湿     ,苦温燥湿,芳香化湿，,,
四肢困乏，脘腹痞闷喜揉按，便溏，神疲，舌质淡胖，治宜(    )。,A,健脾化湿,补中益气     ,利湿化浊,理气和中,,
脾虚湿滞型湿阻病，方用(    )。,A,香砂六君子汤,香砂养胃汤   ,参苓白术散,平胃散,,
首载了痢疾的辨证论治的著作是(    )。,B,《内经》,《金匮要略》,《伤寒论》,《诸病源候论》,,
(    )医书指出痢疾具有流行性、传染性。,C,《金匮要略》,《痢疾论》,《丹溪心法》,《严氏济生方》,,
“痢疾最当察虚实、辨寒热”出自于(    )。,A,《景岳全书》,《诸病源候论》,《丹溪心法》,《痢疾论》,,
湿热痢的主方是(    )。,C,桃花汤，,白头翁汤,芍药汤,葛根芩连汤,,
患者腹痛较剧、里急后重、痢下鲜紫脓血、恶心呕吐、舌质红绛苔黄燥，脉滑数，宜选方为(    )。,B,白头翁汤,白头翁汤合芍药汤     ,清营汤,葛根芩连汤,,
患者腹痛拘急、痢下赤白粘冻、白多赤少、里急后重、苔白腻、脉濡缓，宜选用(    )。,D,黄芩汤,真人养脏汤,芍药汤,不换金正气散,,
患者久痢不愈、痢下赤白清稀、腹部隐痛喜按喜温、形寒畏冷、舌淡苔白、脉沉细，证属(    )。,B,寒湿痢,虚寒痢,休息痢,噤口痢,,
休息痢的主方是(    )。,B,胃苓汤,连理汤,桃花汤,理中汤,,
强调“噤口痢者，大虚大热”的医家是(    )。,A,朱丹溪,张景岳,吴鞠通,张仲景,,
治疗痢疾除内服中药外，常用的外治法是(    )。,C,针灸,敷脐,灌肠,拔火罐,,
古代医籍中，记载最详细的传染病是(    )。,B,痢疾,疟疾     ,麻疹,肺痨,,
下列(    )症状为疟疾的特征。,D,寒战壮热,寒热往来     ,头痛,休作有时,,
首先提出瘴疟的名称，最先采用青蒿治疟的古代医籍是(    )。,B,《金匮要略》,《肘后备急方》,《千金要方》,《景岳全书》,,
患者遇劳则疟疾复发，宜选用(    )。,C,白虎加桂枝汤,不换金正气散,何人饮,八珍汤,,
患者久疟不愈，胁下结块、触之有形、舌紫黯有瘀斑、脉细涩，宜选用(    )。,D,大黄廑虫丸,何人饮,桂枝茯苓丸,鳖甲煎丸,,
治疗热瘴宜选用(    )。,A,青蒿素合清瘴汤,截疟七宝饮,青蒿素合不换金正气散,达原饮,,
患者寒多热少、口不渴、苔白腻、脉弦，选用(    )。,A,柴胡桂枝干姜汤,青蒿鳖甲汤,不换金正气散,白虎加桂枝汤,,
治疗温疟的主方是(    )。,B,白虎加人参汤,白虎加桂枝汤,小柴胡汤,何人饮,,
疟疾与感冒、伤寒、肝胆湿热、痨瘵等疾病的共同表现是(    )。,B,头痛,寒热往来,休作有时,有季节性,,
患者寒战壮热、休作有时、舌红苔薄白、脉弦，宜选用(    )。,B,小柴胡汤,柴胡截疟饮,清脾饮,达原饮,,
经现代研究证实，有杀灭疟原虫作用，目前成为抢救脑型疟疾的首选药物是(    )。,D,常山,鸦胆子     ,马鞭草,青蒿,,
下列(    )不是咳嗽的治则。,D,祛邪,利肺,扶正,化瘀,,
下列(    )不属于外感咳嗽的证型。,D,风寒袭肺,风热犯肺,风燥伤肺,暑湿阻肺,,
首将咳嗽分为外感内伤论治的著作是(    )。,A,《景岳全书》,《外台秘要》,《和剂局方》,《伤寒杂病论》,,
外感咳嗽的病因是(    )。,A,外感六淫之邪,外感疫疬之邪,感触异物,外感毒邪,,
下列(    )不是内伤咳嗽的病因。,B,情志,劳倦,饮食,肺脏自病,,
咳声重浊、喉痒、恶寒发热、无汗脉紧者，宜用(    )。,B,桑菊饮,三拗汤合止嗽散     ,桑杏汤,清金化痰汤,,
咳痰不爽，色黄而粘，咽痛，恶寒身热，口渴，脉浮数者，宜用(    )。,A,桑菊饮,清金化痰汤,泻白散,银翘散,,
喉痒干咳，无痰或少痰，唇鼻干燥，微寒，脉浮，治宜(    )。,D,疏风清热，宣肺止咳,滋阴清热，润肺止咳,疏风清肺，润燥止咳,,,
患者晨咳甚，痰多成块，胸闷，痰出则减，伴痞满，苔白腻，方用(    )。,B,苏子降气汤,二陈汤合三子养亲汤,清金化痰汤,葶苈大枣泻肺汤,,
患者咳嗽气急，痰多而黄粘，面赤口干，苔薄黄腻，脉滑数，方用(    )。,C,沙参麦冬汤,黛蛤散合黄芩泻白散,清金化痰汤,桑菊饮,,
哮病发作时的病理环节是(    )。,A,痰阻气闭,痰饮上犯,饮邪泛滥,肺气上逆,,
哮病发作时的主要临床表现是(    )。,B,喘促气短,痰鸣气喘　　 ,呼吸困难,喘咳痰多,,
哮病间歇期涉及的脏腑是(    )。,B,心脾肾虚,肺脾肾虚,肝脾肾虚,心脾肺虚,,
首创“哮喘”病名的是(    )。,A,朱丹溪,罗天益,张景岳,叶天士,,
对哮与喘作了明确区别的著作是(    )。,A,《医学正传》,《诸病源候论》,《丹溪心法》,《证治准绳》,,
哮病主要治疗原则是(    )。,D,补虚泻实,标本同治,扶正祛邪,发时治标，平时治本,,
哮病的“夙根”是(    )。,C,水停,气滞,宿痰,湿浊,,
寒哮发作期首选(    )。,A,射干麻黄汤,定喘汤,小青龙汤,三拗汤合三子养亲汤,,
气粗息涌，喉中痰鸣如吼，咯痰色黄，苔黄腻。治宜(    )。,B,温肺散寒，化痰平喘,清热宣肺，化痰定喘,健脾清热，化痰定喘,清热泻火，宣肺定喘,,
哮喘甚剧，恶寒背冷，痰白呈泡沫，苔白水滑，脉紧而无虚象者，属(    )。,A,，寒实证,寒湿证,表寒证,里寒证,,
哮病病久阳虚，发作频繁，喉中痰鸣如鼾，声低气短，痰稀肢冷，当标本同治，宜(    )。,A,苏子降气汤,紫金丹,三子养亲汤,六君子汤,,
发作期热哮方用(    )。,A,定喘汤,紫金丹,苏子降气汤,麻杏石甘汤,,
哮病发作时，寒热不著，但哮鸣喘咳甚剧，痰多难出，苔厚脉滑，宜用(    )。,B,半夏厚朴汤,三子养亲汤加减,加味平胃散,苏子降气汤,,
哮病缓解期，肺虚者首选(    )。,D,六君子汤,补肺汤,参蛤散,玉屏风散,,
哮病缓解期，脾虚者首选(    )。,A,六君子汤,参苓白术散,归脾汤,十全大补汤,,
喘病的基本病机是,A,气机的升降出纳失常      ,痰浊不化，气机壅滞,,,,
喘病的严重阶段，肺肾虚极，孤阳欲脱，出现面唇爪甲青紫，大汗，称为(    )。,A,喘脱,阳脱,汗脱,气脱,,
患者喘息气促，兼头痛鼻塞、无汗恶寒、苔白脉浮，方用,B,小青龙汤,桂枝加厚朴杏仁汤,麻黄汤,麻杏石甘汤,张口抬肩,
患者喘咳气涌，痰多色黄，伴烦热汗出，苔黄脉数。方用(    )。,C,麻杏石甘汤,二陈汤合三子养亲汤,桑白皮汤,涤痰汤,,
患者喘而胸满闷窒，咳嗽痰多，粘腻色白，苔厚腻脉滑，治宜(    )。,A,化痰降逆,温肺化痰,利气豁痰,清热化痰,,
喘促短气，气怯声低，自汗恶风，易感冒，脉软弱，方用(    )。,B,生脉散,补肺汤合玉屏风散,补中益气汤,八珍汤,,
实喘肝气乘肺症见呼吸短促，息粗气憋，咽中如窒者，方用(    )。,C,旋复代赭汤,半夏厚朴汤,五磨饮子,六磨汤,,
喘脱宜扶阳固脱，镇摄肾气，方用(    )。,D,·参蛤散,生脉散,七味都气丸,参附汤合黑锡丹,,
虚喘肾气虚兼痰浊壅肺，喘咳痰多，气急满闷，苔腻，属(    )证。,D,本虚标实,虚实挟杂,上热下寒,上实下虚,,
饮凌心肺型喘病的治法是(    )。,A,温阳利水，泻肺平喘,温阳化饮，补肺平喘,利水消肿，泻肺平喘,化饮降逆，泻肺平喘,,
肝气乘肺型喘病的治法是(    )。,C,舒肝利肺,清肝降气,开郁降气,开郁平喘,,
清泄痰热法可适用于(    )。,A,痰热遏肺型喘病,热哮证,痰热郁肺型咳嗽,痰热郁肺型肺胀,,
首载肺胀病名的医著是(    )。,A,《内经》,《金匮要略》,《丹溪心法》,《诸病源候论》,,
肺胀的病理性质属(    )。,C,上盛下虚,表实里虚,本虚标实,标本俱虚,,
肺胀，喘而上气，喉中如有水鸡声，表寒不著者，可选用,D,小青龙汤,小青龙加石膏汤,麻黄汤,射干麻黄汤,,
咳嗽痰多，喉间痰鸣，胸部膨胀，憋闷如窒，唇甲紫绀，舌质紫暗，苔浊腻，脉弦滑者，证属(    )。,A,痰瘀阻肺型肺胀,痰热遏肺型喘病,痰浊阻肺型喘病,痰湿蕴肺型咳嗽,,
呼吸浅短难续，咳声低怯，胸满短气，心慌，形寒汗出，苔白润脉沉细，方宜(    )。,D,金匮肾气丸,真武汤合五苓散,补肺汤合生脉散,补虚汤合参蛤散,,
下列哪部医著认为肺胀与痰饮有关?,C,《内经》,《诸病源候论》,《金匮要略》,《张氏医通》,,
患者咳逆喘满不得卧，咯痰白稀，呈泡沫状，胸部膨满恶寒，舌苔白滑，脉浮紧，证属(    )。,A,外寒内饮型肺胀,风寒闭肺型喘病,风寒袭肺型肺胀,寒哮,,
咳逆喘息气粗，痰黄，胸满烦燥，溲黄口渴，苔黄腻，脉滑数,B,小青龙加石膏汤,越婢加半夏汤,麻杏石甘汤,白虎加苍术汤,,
患者面浮，下肢肿，脘痞腹胀，心悸，喘咳不能平卧，面唇青紫，苔白滑，脉结代，治法宜(    )。,C,补肺纳肾，降气平喘,涤痰祛瘀，泻肺平喘,温阳化饮利水,温肺散寒，降逆涤痰,,
咳逆喘促．B重，嗜睡，烦躁不安，昏迷抽搐，方用(    )。,A,涤痰汤合至宝丹或安宫牛黄丸,二陈汤合安宫牛黄丸,礞石滚痰丸合苏合香丸,参附汤合黑锡丹,,
首次列有肺痈病名的著作是(    )。,C,《内经》,《诸病源候论》,《金匮要略》,《备急千金要方》,,
苇茎汤是治肺痈的要方，出自(    )。,B,《金匮要略》,《备急千金要方》,《十药神书》,《医宗金鉴》,,
肺痈初期主要症状是(    )。,A,发热恶寒,壮热振寒,咳吐黄绿痰,咳痰如米粥,,
肺痈的病理病机是(    )。,D,痰热互结于胸,痰热蕴结于肺,气滞血瘀于肺,痰热与血瘀互结于肺,,
肺痈初期的治法是(    )。,C,清热肃肺,清热解毒,清肺散邪,疏风散热,,
肺痈的病理性质是(    )。,A,实证热证,虚证热证,本虚标实证,寒热错杂证,,
患者发热微恶寒，咯粘液脓性痰，胸痛呼吸不利，诊为肺痈初期，方用(    )。,A,银翘散,千金苇茎汤,如金解毒散,加味桔梗汤,,
患者发热振寒，咳嗽胸痛，痰浊有腥味，诊为肺痈，方宜(    )。,B,普济消毒饮,千金苇茎汤合如金解毒散,清瘟败毒散,加味桔梗汤合黄连解毒汤,,
肺痈恢复期的治疗原则是(    )。,A,养阴益气，扶正祛邪,养阴益气，清肺排毒,扶正祛邪，滋养肺阴,养肺滋阴，扶正排毒,,
肺痈成痈期，热毒瘀结严重时，可配合使用(    )。,A,犀黄丸,珍黄散,锡类散,鱼腥草,,
肺痈的成痈期的治疗原则是(    )。,C,清热解毒，清肺消痈,清肺消痈，祛痰化瘀,清热解毒，化瘀消痈,活血化瘀，清肺消痈,,
肺痈溃脓期的治法是(    )。,D,清热排脓,清肺排脓,化瘀排脓,排脓解毒,,
肺痈溃脓期可选用(    )。,C,千金苇茎汤,沙参麦冬汤,加味桔梗汤,竹叶石膏汤,,
