Question,A,B,C,D,E,answer,,,
“直中”是指：（    ）,两经或三经证候同时出现,一经证候已罢，继而出现另一经证候,互为表里的阴阳两经证候同时出现,一经证候未罢，又出现另一经证候,外邪入犯三阴而出现三阴证候,C,,诊断学,单选
《察病指南》是诊法专著，其作者是：（    ）,李中梓,李东垣,施发,陈言,杜清碧,C,,诊断学,单选
《黄帝内经》的作用是,正式提出“八纲”名称,初步确定八纲间的辨证关系,使得八纲辨证普及推广,已将八纲辨证作为辨证纲领,初步运用八纲进行辨证,B,,诊断学,单选
《景岳全书》中记载脉象数为,十六种,二十四种,二十六种,二十七种,二十八种,A,,诊断学,单选
《景岳全书》中将八纲辨证的内容称为,治病八字,八种纲要,治病大法,二纲六变,二纲六要,D,,诊断学,单选
《灵枢·五色》认为鼻翼旁候,心肺,脾,胃,小肠,膀胱,D,,诊断学,单选
《脉经》的作者是：（    ）,张仲景,叶天士,王叔和,巢元方,孙思邈,E,,诊断学,单选
《脉理求真》的作者是,扁鹊,李时珍,王叔和,张景岳,李士材,H,,诊断学,单选
《难经》说问而知之谓之：（    ）,神,圣,巧,工,能,D,,诊断学,单选
《内经》中所称的“毛脉”是指,浮脉,滑脉,洪脉,微脉,虚脉,A,,诊断学,单选
《内经》中所称的“石脉”是指,伏脉,牢脉,沉脉,革脉,实脉,C,,诊断学,单选
《三指禅》的作者是,扁鹊,李时珍,王叔和,张景岳,李士材,G,,诊断学,单选
《三指禅》中记载脉象数为,十六种,二十四种,二十六种,二十七种,二十八种,D,,诊断学,单选
《伤寒杂病论》的作用是,正式提出“八纲”名称,初步确定八纲间的辨证关系,使得八纲辨证普及推广,已将八纲辨证作为辨证纲领,初步运用八纲进行辨证,E,,诊断学,单选
《伤寒杂病论》中记载脉象数为,十六种,二十四种,二十六种,二十七种,二十八种,C,,诊断学,单选
《素问·水热穴论》称“胃之关”是,肾,脾,肺,膀胱,,A,,诊断学,单选
《中藏经》的主要内容之一是,认为四诊是神圣工巧的技能,论脏腑寒热虚实生死顺逆之法,对病因辨证的理法较为完善,最早创立对黄疸进行实验观察,论述病源与病候的专著,B,,诊断学,单选
《诸病源候论》的突出贡献是,认为四诊是神圣工巧的技能,论脏腑寒热虚实生死顺逆之法,对病因辨证的理法较为完善,最早创立对黄疸进行实验观察,论述病源与病候的专著,E,,诊断学,单选
嗳气，古称,太息,哕,噫气,叹气,,C,,诊断学,单选
嗳气低沉断续，无酸臭气味者多为,食滞胃脘,寒邪客胃,脾胃虚弱,肝气犯胃,热邪犯胃,C,,诊断学,单选
嗳气频发，声音响亮，得嗳气则脘腹舒畅者属,胃气上逆,肺气上逆,肝气郁滞,肝气犯胃,,D,,诊断学,单选
嗳气频作连续，兼脘腹冷痛者，属于,寒邪客胃,湿困脾胃,肝气犯胃,宿食内停,胃虚气逆,A,,诊断学,单选
嗳气频作响亮，常因情志变化而增减者，证属,胃虚气逆,寒邪客胃,食滞胃脘,肝气犯胃,胃肠实热,D,,诊断学,单选
按肌肤时，辨别热在里的依据为,初不觉热，稍久即感灼手,久按热愈,局部皮肤灼热,初按热甚，久按不热,肌肤灼热,B,,诊断学,单选
按三焦辨证，病在下焦的病机特点是：（    ）,热邪炽盛，动风动血,热久营阴，心神被扰,热邪壅滞，肺气被郁,热在心肝，伤阴动血,热邪久留，肝肾阴虚,B,,诊断学,单选
按腧穴时下述哪项不属病理反应,明显压痛,按之有结节,按之有条索状物,特殊敏感反应,轻微酸胀感,E,,诊断学,单选
按腧穴诊断膀胱病的常用腧穴是,中极,天枢,神阙,气海,关元,A,,诊断学,单选
按腧穴诊断大肠病的常用腧穴是,中极,天枢,神阙,气海,关元,B,,诊断学,单选
按腧穴诊断小肠病的常用腧穴是,中极,天枢,神阙,气海,关元,E,,诊断学,单选
按虚里除哪一项外，均属正常,按之应手,动微不显,动而不紧,从容和缓,节律整齐,B,,诊断学,单选
按诊时医生用指掌稍用力寻抚病人某一局部，称,触法,叩法,按法,摸法,压法,D,,诊断学,单选
按中府穴时有明显压痛者，多为何脏腑病症,心,肺,大肠,膀胱,肾,B,,诊断学,单选
八纲作为辨证的主要内容形成于,《内经》,《伤寒论》,明代,清代,民国,C,,诊断学,单选
白 的出现，是因：(    ),气分热盛,湿郁汗出不彻,风湿热邪留于肌表,湿热火毒内蕴,风热之毒阴于肌肤,B,,诊断学,单选
白喉的特点是,干咳,咳声低微,咳声重浊,咳如犬吠,咳后鸡鸣样回声,D,,诊断学,单选
白腻苔主,里热证,寒湿证,表寒证,阳虚证,阴虚证,B,,诊断学,单选
百日咳的特点是,干咳,咳声低微,咳声重浊,咳如犬吠,咳后鸡鸣样回声,E,,诊断学,单选
斑与疹的区别，主要是：（   ）,形状大小,颜色深浅,是否高出皮肤，摸之碍手,邪热轻重,邪正虚实,C,,诊断学,单选
半表半里证的寒热特征是,恶寒发热,但寒不热,但热不寒,无明显寒热症状,寒热往来,E,,诊断学,单选
半身汗出，是因：（    ）,风痰阻滞经络,中焦郁热,阳气虚损,阴虚火旺,以上都不是,A,,诊断学,单选
半身汗出可见于,阳明热盛,中风,心脾两虚,上焦热盛,阳虚,B,,诊断学,单选
膀胱湿热证一般不见,小便浑浊,余沥不尽,尿急短黄,排尿灼痛,小便频数,B,,诊断学,单选
膀胱湿热证一般不见：(    ),余沥不尽,小便浑浊,尿急短黄,排尿灼痛,小便频数,A,,诊断学,单选
崩漏的表现是：（    ）,经量较以往明显增多,非经期出血不止,经行点滴即止,经期经常错后,非哺乳期月经未潮,E,,诊断学,单选
鼻端色青，多属,气血亏虚,肺脾蕴热,阴寒腹痛,胃气已衰,肾虚水停,C,,诊断学,单选
鼻渊病人可见,鼻塞流清涕,鼻塞流浊涕,鼻塞流脓涕腥臭,鼻衄或齿衄,息灼、鼻翼扇动,C,,诊断学,单选
鼻渊的主要特征是,鼻翼煽动,鼻流脓涕,偶流清涕,久流浊涕而腥臭,,D,,诊断学,单选
便秘，腹部硬满疼痛，日晡潮热，舌红苔黄厚而燥，应诊断为,肠燥津亏证,胃阴亏虚证,肠热腑实证,食滞胃脘证,胃热炽盛证F.寒滞胃肠证,C,,诊断学,单选
便秘，胃脘灼痛，渴喜冷饮，舌红苔黄，脉滑数，应诊断为,肠燥津亏证,胃阴亏虚证,肠热腑实证,食滞胃脘证,胃热炽盛证F.寒滞胃肠证,E,,诊断学,单选
便溏，纳呆呕恶，畏寒肢冷，喜温喜按，腹痛绵绵，苔白滑，宜诊断为,湿热蕴脾,风湿犯表,脾阳亏虚,寒湿困脾,肝脾不和,D,,诊断学,单选
便溏如黄糜，泻下不爽是(    ),肝郁乘脾,大肠湿热,脾阳虚,中气下陷,肾阳虚,B,,诊断学,单选
遍诊法的上部天指的是,耳前动脉,颞浅动脉,两颊动脉,手阳明大肠经的动脉处,手少阴心经的动脉处,B,,诊断学,单选
遍诊法的下部地指的是,耳前动脉,颞浅动脉,两颊动脉,手阳明大肠经的动脉处,手少阴心经的动脉处,G,,诊断学,单选
遍诊法的中部人指的是,耳前动脉,颞浅动脉,两颊动脉,手阳明大肠经的动脉处,手少阴心经的动脉处,E,,诊断学,单选
辨别是否表证最具有诊断价值的是,发热,恶寒,苔薄,身痛,脉浮,D,,诊断学,单选
辨病认识有错误的是,判断病种,确定病名,把握全程规律,认识特殊病因,辨别证型,E,,诊断学,单选
辨病邪深浅和胃气的存亡重在察：(    ),舌色,舌形,舌态,舌苔,舌神,D,,诊断学,单选
辨内伤杂病一般选用的辨证方法是,表里辨证,八纲辨证,脏腑辨证,经络辨证,三焦辨证,C,,诊断学,单选
辨舌苔之真假，可知：（   ）,疾病的轻重预后,病变之所在,阳气与湿浊的消长,邪气之深浅,津液是否损伤,A,,诊断学,单选
辨证论治的创始人是,李时珍,张景岳,张仲景,华佗,淳于意,C,,诊断学,单选
表实寒证最常见,薄黄润苔,畏寒肢冷,舌体淡胖,脉象浮紧,咽喉肿痛,D,,诊断学,单选
表述不正确的是,每一病性概念都应有特定的证候表现,辨证主要是辨别病位与病性,任何规范的证名都必有病位,病性是指证候变化的本质属性,病性的概念有笼统与具体之分,C,,诊断学,单选
表证的发热是,往来寒热,恶寒发热,但热不寒,但寒不热,潮热,B,,诊断学,单选
表证的寒热特征是,恶寒发热,但寒不热,但热不寒,无明显寒热症状,寒热往来,A,,诊断学,单选
表证的转归，下列哪项不可能出现：（         ）,经治疗而愈,“自然”痊愈,演变成半表半里证,演变成里证,恶化而死,E,,诊断学,单选
表证化热入里的表现是,但发热不恶寒,但恶寒不发热,寒战而有高热,恶寒发热并见,发热盗汗，舌红,A,,诊断学,单选
表证叙述欠妥的是,新起之病必是表证,表证有外邪的侵袭,表证的病位较表浅,久病多数无表证,表证可发展成里证,A,,诊断学,单选
表证最常见于,内伤杂病中,上焦的病证,皮肤疮疡类病,阳明经病证,外感病初期,E,,诊断学,单选
病、证的主症一般属于,必要性资料,—般性资料,特征性资料,偶见性资料,否定性资料,A,,诊断学,单选
病情不相一致的表现是,心阳虚见细数脉,阳虚见小便清长、自汗,阴亏见舌质裂纹,里实热见腹痛拒按、便秘,风痰阻络见舌短缩,A,,诊断学,单选
病人出现瞳仁散大，多属,肾精耗竭,动风先兆,津液亏耗,肝经风热,气血不足,A,,诊断学,单选
病人但坐不得卧，卧则气逆，多属：(    ),气血大虚,肺虚少气,脱血夺气,肾不纳气,以上都不是,E,,诊断学,单选
病人额部汗出如油多提示(    ),上焦邪热,中焦湿热,阴阳离绝,太阴头痛,中风,C,,诊断学,单选
病人恶寒发热，无汗，气喘烦躁，口渴，脉浮紧者   证属：（         ）,上寒下热证,上热下寒证,表寒里热证,表热里寒证,表实寒证,C,,诊断学,单选
病人见大热，大汗，大烦渴，脉洪大，属于,—般性资料,偶见性资料,否定性资料,必要性资料,特征性资料,E,,诊断学,单选
病人精神不振健忘嗜睡声低懒言倦怠乏力动作迟缓你认为是,失神,得神,少神,假神,神乱,C,,诊断学,单选
病人就诊时最感痛苦的症状、体征及其持续时间， 属,现在症,现病史,主诉,生活史,既往史,C,,诊断学,单选
病人口淡乏味，常提示的是,痰热内盛,湿热蕴脾,肝胃郁热,脾胃虚弱,食滞胃脘,D,,诊断学,单选
病人口角向一侧歪斜，称为,口噤,口撮,口僻,口振,口动,C,,诊断学,单选
病人狂躁妄动，胡言乱语，打人毁物，不避亲疏，其诊断是,癫病,狂病,痫病,郁病,脏躁,B,,诊断学,单选
病人面色枯槁晦暗，称为,病色,主色,客色,善色,恶色,E,,诊断学,单选
病人日夜沉睡，呼之难醒，多为,但欲寐,多睡眠,嗜睡,昏睡,昏迷,D,,诊断学,单选
病人身重嗜卧，少气懒言，倦怠乏力，多属(    ),脾气亏虚,湿邪困阻,气滞血瘀,寒凝筋脉,肾阳虚,A,,诊断学,单选
病人头痛眩晕或晕厥证属,胃气上逆,肺气上逆,肝胃不和,肝气上逆,肝火上炎,D,,诊断学,单选
病人突然昏倒，口吐涎沫，四肢抽搐，醒后如常，可见于：(    ),狂病,痫病,癫病,脏躁,以上都不是,B,,诊断学,单选
病人突然呕血，面色苍白，四肢厥冷，大汗淋漓，脉浮大而散，证属：（      ）,亡阴证,气随血脱证,气不摄血证,气血两虚证,以上都不是,B,,诊断学,单选
病人心脾热盛，舌象可见,吐弄,短缩,强硬,痿软,颤动,A,,诊断学,单选
病人谵语时，可表现为：（    ）,语无伦次，笑骂不定,语无伦次，神识不清,语言重复，声低断续,语言错乱，错后自知,自言自语，见人则止,B,,诊断学,单选
病人郑声时，可表现为：（    ）,语无伦次，笑骂不定,语无伦次，神识不清,语言重复，声低断续,语言错乱，错后自知,自言自语，见人则止,C,,诊断学,单选
病人坐而喜俯，多属,咳喘肺胀,水饮内停,气虚体弱,肺实气逆,肝阳上亢,C,,诊断学,单选
病室有烂苹果样气味，可见于,水肿病晚期,消渴病危重期,脱血夺气,脏腑败坏,有机磷农药中毒,B,,诊断学,单选
不出现滑苔的病证是,脾阳不振,水湿内停,饮邪恋肺,寒湿内生,气滞血瘀,E,,诊断学,单选
不能写作主诉的是,主要症状,持续时间,主要体征,主要病名,症状特征,D,,诊断学,单选
不属于动脉脉象特征的是,脉形如豆,滑数有力,如按琴弦,厥厥动摇,关部尤显,C,,诊断学,单选
不属于复合脉的是,洪脉,动脉,微脉,疾脉,促脉,D,,诊断学,单选
不属于现病史内容的是,疾病发生情况,既往患病情况,病情演变过程,本次疾病的诊治过程,就诊时的自觉症状,B,,诊断学,单选
不易出现紫舌的是,阴寒内盛，气血不畅,热毒炽盛，热入营血,肺气壅滞，肝郁血瘀,脾失健运，湿浊内阻,阳气虚衰，血行不畅,D,,诊断学,单选
曹炳章所著的舌诊专著是：（    ）,《伤寒舌鉴》,《观舌心法》,《伤寒金镜录》,《察舌辨证新法》,《彩图辨舌指南》,E,,诊断学,单选
察舌苔以辨胃气之有无，主要依据是,苔之厚薄,苔之真假,苔之颜色,苔之润燥,苔之偏全,B,,诊断学,单选
察舌苔有根无根可测知：(    ),邪正盛衰,病情进退,胃气有无,津液存亡,以上都不是,C,,诊断学,单选
肠热腑实证的临床特点是,热结旁流，大便恶臭,口吐清水，大便溏薄,下痢脓,下利清谷，完谷不化,大便酸腐秽臭,A,,诊断学,单选
肠燥津亏证与肠热腑实证的共见症是：(    ),便秘质硬，稀水恶臭,发热神昏，谵语狂乱,口渴汗多，腹满拒按,腹胀腹痛，脉象细涩,便秘干燥，舌燥咽干,E,,诊断学,单选
常见于阴寒内盛及疝气癥积的脉象是,紧脉,牢脉,迟脉,沉脉,涩脉,B,,诊断学,单选
常脘腹冷痛，喜温喜按，畏冷肢凉，昨起恶寒，头痛无汗，脉濡缓。此为,表里实热证,表实寒里虚寒证,表寒里热证,表热里寒证,表实寒里虚热证,B,,诊断学,单选
常于夜间间发左胸刺痛，为时甚短，面色略暗，舌尖有紫色,气滞证,气逆证,气闭证,血瘀证,血热证,D,,诊断学,单选
常只显于关部，寸与尺脉多不显的脉象是,促脉,短脉,动脉,伏脉,微脉,B,,诊断学,单选
掣痛又称为,隐痛,酸痛,彻痛,刺痛,绞痛,C,,诊断学,单选
沉按实大弦长称之为,长脉,弦脉,伏脉,牢脉,紧脉,D,,诊断学,单选
沉按实大弦长的脉象是：（    ）,革脉,伏脉,牢脉,沉脉,弦脉,C,,诊断学,单选
沉迟脉多见于,里寒证,气滞证,饮停证,血瘀证,阴亏证,A,,诊断学,单选
沉而细软，应指无力的脉象是,濡脉,微脉,细脉,弱脉,涩脉,D,,诊断学,单选
沉脉的脉象特征是,轻取不应，重按无力,轻取不应，重按模糊,轻取不应，重按细软,轻取不应，重按实大弦长,轻取不应，重按始得,E,,诊断学,单选
沉脉最突出的表现在,脉位较深,脉形粗大,脉势较强,脉力较大,脉形较长,A,,诊断学,单选
沉涩脉的出现常为,肝郁气滞,水饮内结,寒凝血瘀,脾肾阳虚,血虚肝郁,C,,诊断学,单选
沉涩脉多见于,脾虚证,血瘀证,表寒证,表热证,痛证,B,,诊断学,单选
迟脉除寒证外还可见于,湿热内蕴,邪热结聚,真寒假热,真热假寒,,B,,诊断学,单选
迟脉见于,寒证或实热证,邪闭,阴寒内盛,气虚,虚热证,A,,诊断学,单选
齿龈不红不痛微肿出血，舌淡脉弱，多属,血虚或失血后,胃火上炎，灼伤龈络,胃阴不足,脾虚不能摄血,肾阴虚，虚火上炎,D,,诊断学,单选
齿龈红肿疼痛出血，口渴脉滑数，多属,血虚或失血后,胃火上炎，灼伤龈络,胃阴不足,脾虚不能摄血,肾阴虚，虚火上炎,B,,诊断学,单选
虫积肠道证不易见到的症状是,面部白色斑,白睛蓝斑,皮下紫斑,睡中齘齿,唇内有粟粒样白点,C,,诊断学,单选
抽搐项强，角弓反张，两目上视，舌质红绛，脉弦有力，属,肝阳化风证,热极生风证,阴虚生风证,血虚生风证,肝火上炎证,A,,诊断学,单选
出现战汗多提示(    ),邪去正安,邪胜正衰,邪正相争剧烈,阴阳离决,阴虚,C,,诊断学,单选
初按不甚热，按久热明显，称,骨蒸潮热,寒热往来,身热不扬,虚阳浮越,阴虚发热,C,,诊断学,单选
喘证的临床表现应除外哪一项,呼吸困难,鼻翼扇动,张口抬肩,喉中痰鸣,难以平卧,D,,诊断学,单选
喘证的临床表现应除外哪一项：（    ）,呼吸困难,鼻翼煽动,张口抬肩,难以平卧,喉中痰鸣,E,,诊断学,单选
疮疡红肿而作痛多为,绞痛,掣痛,灼痛,重痛,冷痛,C,,诊断学,单选
疮疡漫肿无头，肤色不变，无热少痛，诊断为,痈,无头疽,疔,疖,有头疽,B,,诊断学,单选
疮疡阳证为：（    ）,高肿灼手，根盘紧束,按之固定，坚硬而热不甚,按之肿硬而不热，根盘平塌漫肿,按之陷而不起,按之边硬顶软，有波动感,A,,诊断学,单选
疮疡已成脓的表现是,根盘收束而隆起,肿处硬板而不热,根盘平塌而漫肿,顶软而有波动感,按之边顶均坚硬,D,,诊断学,单选
疮疡已成脓为：（    ）,高肿灼手，根盘紧束,按之固定，坚硬而热不甚,按之肿硬而不热，根盘平塌漫肿,按之陷而不起,按之边硬顶软，有波动感,E,,诊断学,单选
创立三焦辨证的医家是,吴鞠通,薛生白,王孟英,叶天士,刘河间,A,,诊断学,单选
创立卫气营血辨证方法的医家是：（    ）,叶天士,张仲景,吴鞠通,汪宏,吴又可,A,,诊断学,单选
促脉的脉象特点是,脉来一止，止有定数，良久方还,往来流利，应指圆滑，如盘走珠,脉形如豆，滑数有力，厥厥动摇,形细而行迟，往来艰涩不畅，脉势不匀,脉来数而时有一止，止无定数,E,,诊断学,单选
促脉的特征是,数而时止，止无定数,数而时止，止有定数,缓而时,缓而时止，止有定数,乍疏乍密，如解乱绳状,A,,诊断学,单选
寸口脉分候脏腑，下列哪项不正确,左寸候心与膻中,左关候脾胃,左尺候肾与小腹,右寸候肺与胸中,右尺候肾与小腹,B,,诊断学,单选
大便干结，数日一行，口干，舌红少津，脉细数，诊为：(    ),胃肠热盛证,肠热腑实证,肠燥津亏证,热盛伤津证,食积化热证,B,,诊断学,单选
大便干燥，艰涩难下，口臭头晕，舌红少苔，脉细数，应诊断为,肠燥津亏证,肠热腑实证,虫积肠道证,食滞胃脘证,大肠湿热证,A,,诊断学,单选
大便夹有不消化食物，酸腐臭秽者，多因(    ),大肠湿热,肝胃不和,伤食积滞,脾胃虚弱,肝郁乘脾,C,,诊断学,单选
大便秘结，舌红少苔，脉细数者，属,热结便秘,气虚便秘,阴虚便秘,寒凝便秘,血虚便秘,C,,诊断学,单选
大便秘结，舌苔黄厚而燥，脉沉数者，属,热结便秘,气虚便秘,阴虚便秘,寒凝便秘,血虚便秘,A,,诊断学,单选
大便秘结或热结旁流见于何证:,肠燥津亏证,肠热腑实证,寒饮停胃证,胃阴虚证,胃肠气滞证,D,,诊断学,单选
大便如溏，含未消化食物，多属,寒湿,湿热,脾虚,痢疾,霍乱,C,,诊断学,单选
大便先干后溏，多属,脾气虚弱,肝郁乘脾,命门火衰,湿盛伤脾,食滞胃肠,A,,诊断学,单选
大肠湿热证的临床特点是,热结旁流，大便恶臭,口吐清水，大便溏薄,下痢脓,下利清谷，完谷不化,大便酸腐秽臭,C,,诊断学,单选
大脉的特征是,脉体宽大，浮而搏指,脉体宽大有力，状若波涛汹涌,脉体宽大，但脉来无汹涌之势,脉体宽大，浮大中空,脉体宽大，但按之力不足,C,,诊断学,单选
大脉与洪脉为，,在部位上有浮与沉的不同,在气势上有力与无力的不同,同两者都有关,同两者都无关,,B,,诊断学,单选
大失血，伤阴的脉象是,濡脉,缓脉,紧脉,芤脉,涩脉,D,,诊断学,单选
代脉的脉象特征是,缓而时止，止无定数,数而时止，止无定数,数而时止，止有定数,脉来一止，止有定数，良久方还,脉迟时止，止无定数,D,,诊断学,单选
代脉的特征是,数而时止，止无定数,数而时止，止有定数,缓而时,缓而时止，止有定数,乍疏乍密，如解乱绳状,D,,诊断学,单选
带下臭秽、色黄质稠，多属,湿热,肾虚,寒湿,癌病,火热,A,,诊断学,单选
带下清稀而腥者，多属,食积,寒湿,湿热,热毒,痰饮,B,,诊断学,单选
带下色白，滑稀如涕   无臭味，多属(    ),冲任亏虚,湿热下注,肝经郁热,脾虚湿注,肾精亏虚,D,,诊断学,单选
带下色白，滑稀如涕．无臭味，多属(    ),冲任亏虚,湿热下注,肝经郁热,脾虚湿注,肾精亏虚,D,,诊断学,单选
带下色黄而臭，外阴瘙痒，舌红苔黄腻，应诊断为,肝胃不和证,湿热蕴脾证,肝火炽盛证,肝郁脾虚证,肝经湿热证,E,,诊断学,单选
单纯的表证亦可表现为,但发热不恶寒,但恶寒不发热,寒战而有高热,恶寒发热并见,发热盗汗，舌红,B,,诊断学,单选
胆郁痰扰证的主要依据是：(    ),左胁疼痛,身目俱黄,小便短赤,时有寒热,惊悸不寐,C,,诊断学,单选
淡白舌、白滑苔，常提示,气虚湿困,脾胃湿热,营分有热,食积胃肠,肝经瘀血,A,,诊断学,单选
淡白舌、白腻苔，可见于,气血两虚,脾虚湿困,胃阴不足,肝肾阴虚,阴虚火旺,B,,诊断学,单选
淡白舌中剥苔，可见于,肝阴不足,肾阴不足,气阴不足,肝肾阴虚,阴虚火旺,C,,诊断学,单选
淡红舌苔灰黑湿润，为,气虚,阳虚,血虚,阴虚,湿热,B,,诊断学,单选
弹石脉的特征是,脉来浮数之极，至数不清，浮泛无根,脉在筋骨之间，如指弹石，劈劈凑指,脉来连连数急，三五不调，止而复作,脉来乍疏乍密，如解乱绳状,脉动短小而坚搏，如循薏苡子,B,,诊断学,单选
当病情表现复杂，或者病情资料很多时，最适用的辨证思维方,类比法,归纳法,演绎法,反证法,模糊判断法,B,,诊断学,单选
当病情不复杂而表现又很典型时，常使用的辨证思维方法是,类比法,归纳法,演绎法,反证法,模糊判断法,A,,诊断学,单选
当病情资料很多或者比较复杂时，最宜采用,比较法,类比法,分类法,归纳法,演绎法,D,,诊断学,单选
导致内风证的常见原因，不包括哪项：（      ）,热盛,阳亢,血瘀,血虚,阴虚,C,,诊断学,单选
导致亡阳的病因病机，除哪项外均是,阳气由虚而衰而欲脱,阴寒极盛而暴伤阳气,阴血消亡，阳随阴脱,气机阻滞而血行不畅,剧毒、严重外伤刺激,D,,诊断学,单选
导致瘟疫证候的病因是：（      ）,疫疠之毒,燥热疫毒,瘟毒挟湿热,温热病邪,火淫之邪,A,,诊断学,单选
盗汗多见于,阴虚证,阳虚证,津亏证,血虚证,亡阳证,A,,诊断学,单选
盗汗是阴虚证的,必要性资料,特征性资料,一般性资料,偶见性资料,否定性资料,B,,诊断学,单选
巅顶头痛属(    ),少阳头痛,少阴头痛,厥阴头痛,太阴头痛,太阳头痛,C,,诊断学,单选
癫证病人，可表现为：（    ）,语无伦次，笑骂不定,语无伦次，神识不清,语言重复，声低断续,语言错乱，错后自知,自言自语，见人则止,E,,诊断学,单选
动脉的脉象特点是,脉来一止，止有定数，良久方还,往来流利，应指圆滑，如盘走珠,脉形如豆，滑数有力，厥厥动摇,形细而行迟，往来艰涩不畅，脉势不匀,脉来数而时有一止，止无定数,C,,诊断学,单选
动脉是由下列哪项中的因素复合而成的,沉、细、软,浮、细、软,滑、数、短,沉、数、短,沉、实、大,C,,诊断学,单选
动则喘甚，呼多吸少，气短难续，息微声低，以深吸为快者，属于,痰热壅肺,痰湿阻肺,风寒袭肺,肺肾气虚,肺脾气虚,D,,诊断学,单选
煅淬时应注意的问题是,一次煅透，中间不得停火,反复进行几次,密闭条件下煅制,煅时不能搅拌,,B,,诊断学,单选
对“辨证”的下列认识哪项不对,是对疾病全过程特点的认识,是通过现象对疾病本质的认识,是医生的主观对客观的认识,是对疾病当前病理本质的认识,是对病位与病因病性的认识,A,,诊断学,单选
对病、证、症关系的描述有错误的是,病的全过程可出现不同的证,症是辨病与辨证的主要依据,同一证可见于不同的病中,“证”可见于“病”的全过程,“证”反映“病”的阶段特点,D,,诊断学,单选
对病情进行由浅入深、由粗到精的层层深入分析的辨证思维方,类比法,归纳法,演绎法,反证法,模糊判断法,C,,诊断学,单选
对喘与哮的认识错误的是,喘以气促呼吸困难为主,哮以喉间哮鸣声为主,喘属虚证，哮属实证,哮与喘常同时出现,喘不兼哮，哮必兼喘,C,,诊断学,单选
对寸口诊脉法的下述认识，哪项不对,始见于《内经》,由张仲景首创,详于《难经》,推广于王叔和,后世习惯运用,B,,诊断学,单选
对多种欠精确、非特征性的症状做综合分析以明确诊断的思维,类比法,归纳法,演绎法,反证法,模糊判断法,E,,诊断学,单选
对肺病最有诊断意义的是：(    ),少气,胸闷,咳喘,自汗,水肿,C,,诊断学,单选
对寒淫证的下述认识哪项不对,往往有感寒的原因可查,体内阳气未能御制寒邪,多属新病突起，病势较急,病机与寒的致病特点相关,其转归是必变为阳虚证,E,,诊断学,单选
对黄疸病人做实验观察并做早期记载的是,《伤寒杂病论》,《三因极一病证方论》,《诸病源候论》,《肘后备急方》,《察病指南》,D,,诊断学,单选
对里证的认识，下列哪项错误,里证多见内伤杂病,外感病一般无里证,里证多外邪‘直中’,情志为病多属里证,饮食劳伤多见里证,B,,诊断学,单选
对脾虚气陷证最有诊断意义的依据是：(    ),食少腹胀，大便稀溏,头晕目眩，舌淡脉细,身倦乏力，少气懒言,五更泄泻，便质清冷,脘腹重坠作胀，食后益甚,E,,诊断学,单选
对外燥证的下述认识，不正确的是：（      ）,以干燥为主要证候,与内燥毫不相关,阴液亏少之人易患,多见于三秋季节,干燥少雨之地常见,C,,诊断学,单选
对外燥证的下述认识，哪项不对,以干燥为主要证候,与内燥毫不相关,多见于秋季,干燥少雨之地常见,阴液亏少之人易患,B,,诊断学,单选
对心肝血虚证最有诊断意义的是：(    ),心悸健忘，面白舌淡,头晕目眩，月经停闭,手足震颤，头晕目眩,视物模糊，爪甲不荣,心悸多梦，肢麻眩晕,E,,诊断学,单选
