problem,solution,answer,problem_type
"红花组织中分布有何种分泌组织 。

A.长管状分泌细胞
B.乳汁管
C.树脂道
D.油室
E.分泌腔",$A$,A,single_choice
"处方直接写药名，需调配麸炒品的是

A.远志
B.枳壳
C.厚朴
D.枇杷叶
E.酸枣仁",$B$,B,single_choice
"麻子仁丸主治

A.热秘
B.冷秘
C.气秘
D.虚秘
E.寒秘",$A$,A,single_choice
"郁证肝气郁结证可选用的中成药有

A.逍遥散
B.脑乐静
C.丹栀逍遥丸
D.脑力静糖浆
E.越鞠丸",$A$,A,single_choice
"肝气犯胃型胃痛治宜

A.柴胡疏肝散
B.清中汤
C.四君子汤
D.保和丸
E.黄芪建中汤",$A$,A,single_choice
"瘀血内阻、血不循经之出血证应选用

A.化瘀止血药
B.凉血止血药
C.温经止血药
D.收敛止血药
E.以上均可以",$A$,A,single_choice
"根据原卫计委《关于加强药事管理转变药学服务模式的通知》，关于医院药事服务模式转变的说法，正确的是

A.推进药学服务从“以药品为中心”转变为“以服务为中心”，从“以保障药品供应为中心”转变为“以加强药学专业技术服务、参与临床用药为中心”
B.推进药学服务从“以药品为中心”转变为“以病人为中心”，从“以保障药品供应为中心”转变为“在保障药品供应的基础上，以重点加强药学专业技术服务、参与临床用药为中心”
C.推进药学服务从“以病人为中心”转变为“以药学服务为中心”，从“以调剂药品为中心”转变为“提供药学服务为中心”
D.推进药学服务从“以药品为中心”转变为“以人为本”，从“以保障药品供应为中心”转变为“以重点加强药学专业技术服务、参与临床用药为中心”
E.推进药学服务从“以药品为中心”转变为“以人为本”，从“以调剂药品为中心”转变为“提供药学服务为中心”",$C$,C,single_choice
"因“十九畏”而不宜合用的中成药配伍是

A.益母草颗粒与妇血康颗粒
B.妇科千金片与当归四物汤
C.补中益气丸与金匮肾气丸
D.大活络丸与蛇胆川贝液
E.六应丸与胆宁片",$E$,E,single_choice
"粉刺痰湿瘀滞证，治宜选用的中成药是

A.当归苦参丸
B.当归龙荟丸
C.金花消痤丸
D.化瘀祛斑胶囊
E.防风通圣丸",$A$,A,single_choice
"症见寒热往来，胸胁苦满，不欲饮食，口苦咽干，舌苔薄白，脉弦，治宜可选用的治法是

A.汗法
B.和法
C.温法
D.消法
E.补法",$E$,E,single_choice
"具有清热解毒，祛腐生肌功能的是

A.六神丸
B.清音丸
C.冰硼散
D.珠黄散
E.清音滴丸",$D$,D,single_choice
"中医应辨证为

A.肝肾亏虚证
B.痰湿中阻证
C.肾精不足证
D.肝阳上亢证
E.气血亏虚证",$C$,C,single_choice
"香附来源于 。

A.薯蓣科植物薯蓣
B.豆科植物甘葛藤
C.十字花科植物菘蓝
D.薯蓣科植物山药
E.豆科植物野葛",$A$,A,single_choice
"下列膜剂的成膜材料中，其成膜性、抗拉强度、柔韧性、吸湿性及水溶性最好的为 。

A.基乙烯吡啶衍生物
B.玉米朊
C.聚乙烯胺类
D.聚乙烯醇
E.阿拉伯胶",$D$,D,single_choice
"与低分子右旋糖酐同用，可提高心肌梗死的抢救成功率的中药注射剂有

A.丹参注射液
B.柴胡注射液
C.黄芪注射液
D.鱼腥草注射液
E.川芎嗪注射液",$A$,A,single_choice
"温补固涩，不燥不烈，功似菟丝子，而固涩力却较强，入肾经，善补肾固精而止遗的药物是

A.仙茅
B.土茯苓
C.枸杞子
D.沙苑子
E.核桃仁",$D$,D,single_choice
"水解Ⅱ型和Ⅲ型强心苷的苷键 。

A.温和酸水解
B.强烈酸水解
C.氯化氢-丙酮法水解
D.酶水解
E.碱水解",$B$,B,single_choice
"一捻金除消食外，还可

A.祛痰
B.驱虫
C.泻火
D.解毒
E.止泻",$A$,A,single_choice
"对玉屏风胶囊叙述错误的是

A.全方配伍，补中兼疏，寓散于收
B.热病汗出者慎用
C.阴虚盗汗者慎用
D.可用于虚体外感，邪多虚少
E.具有益气、固表、止汗之功",$D$,D,single_choice
"按照《中国药典》，水蜜丸、水丸的溶散时间为 。

A.朱砂衣
B.雄黄衣
C.黄柏衣
D.青黛衣
E.百草霜衣",$A$,A,single_choice
"《中国药典》要求柴胡皂苷a和柴胡皂苷d的总含量不少于 。

A.020%
B.030%
C.040%
D.025%
E.050%",$B$,B,single_choice
"麸炒法将麦麸均匀撒入热锅中，投入药物的标准是 。

A.麦麸微热
B.麦麸烫手
C.麦麸起烟
D.麦麸稍黑
E.麦麸炭化",$C$,C,single_choice
"瘾疹血虚风燥证，治宜选用的治法是

A.疏风散寒止痒
B.疏风清热止痒
C.疏风解表，通腑泄热
D.养血祛风，润燥止痒
E.清热利湿止血",$D$,D,single_choice
"属于含毒性药散剂的是 。

A.中粉
B.细粉
C.最细粉
D.极细粉
E.超细粉",$C$,C,single_choice
"养血安神丸的主治是

A.心阴不足
B.心气虚寒
C.心火亢盛
D.阴虚血少
E.心血不足",$D$,D,single_choice
"瘾疹胃肠湿热证的治法宜选用

A.疏风散寒止痒
B.疏风清热止痒
C.疏风解表，通腑泄热
D.养血祛风，润燥止痒
E.清热利湿止血",$C$,C,single_choice
"饮片切制的目的不包括 。

A.利于调配和制剂
B.便于有效成分煎出
C.利于炮炙
D.便于大小分档
E.便于鉴别",$D$,D,single_choice
"既能疏肝理气，又能调经止痛的药物是

A.沉香
B.香附
C.枳壳
D.乌药
E.木香",$B$,B,single_choice
"下列化合物中酸性最弱的是 。

A.2’-羟基黄酮
B.7-羟基黄酮
C.7，4′-二羟基黄酮
D.8-羟基黄酮
E.5-羟基黄酮",$E$,E,single_choice
"羌活主产于 。

A.云南、四川、广西、陕西
B.四川、西藏、云南
C.浙江、河南
D.四川、云南、青海、甘肃
E.四川、云南、贵州",$D$,D,single_choice
"雷公藤具有 。

A.酰胺类生物碱
B.季铵碱
C.脂胺类生物碱
D.芳香胺类生物碱
E.N-六元芳杂环类生物碱",$A$,A,single_choice
"下列关于有机酸的理化性质，叙述错误的是 。

A.有机酸均能溶于酸水
B.高级脂肪酸大多为固体
C.低级脂肪酸大多为液体
D.有机酸分子中含有羧基而具有较强的酸性
E.低分子脂肪酸和含极性基团较多的脂肪酸，难溶于亲脂性有机溶剂",$A$,A,single_choice
"主产浙江的是 。

A.冬虫夏草
B.知母
C.杜仲
D.枸杞子
E.茅苍术",$A$,A,single_choice
"苦参中的总生物碱具有 。

A.平喘、镇咳作用
B.抗菌、抗病毒作用
C.镇静、麻醉作用
D.降血压作用
E.抗变态反应和调节免疫作用",$E$,E,single_choice
"虚劳病证的治疗原则是

A.热者寒之
B.寒者热之
C.虚则补之
D.实则泻之
E.损者益之",$C$,C,single_choice
"具有止咳祛痰，平喘，可以治疗上呼吸道感染、支气管炎、肺炎的是

A.小儿咳喘灵颗粒
	2

B.清宣止咳颗粒
C.鹭鸶咯丸
D.儿童清肺丸
E.小儿消积止咳口服液",$A$,A,single_choice
"郁证肝气郁结证的最佳选方是

A.四逆散
	76

B.柴胡疏肝散
C.归脾丸
D.逍遥散
E.半夏厚朴汤",$B$,B,single_choice
"肝功能不全患者因肝功能减退，药物代谢受到严重影响，在肝脏的作用时间延长，故此类患者应在医师指导下慎重用药，用药时执业药师可给予的合理用药指导有

A.服药初始宜从小剂量开始
B.不能使用有肝毒性中药
C.服药期间定期检查肝功能
D.选择肝毒性小的药物
E.注意观察用药后的反应",$A$,A,single_choice
"关于防己的使用注意表述正确的是

A.忌用于风湿热痹
B.脚气浮肿者慎用
C.阴虚及无湿热者忌服
D.脾胃虚寒者首选
E.水肿、小便不利者慎用",$C$,C,single_choice
"根茎呈结节状，皮部易剥落，露出黄红色木部。气微，味微苦，久嚼刺舌的药材是 。

A.巴戟天
B.续断
C.茜草
D.石菖蒲
E.射干",$C$,C,single_choice
"舟车丸注意事项不包括

A.孕妇及水肿属阴水者禁用
B.不可过量，久服
C.服药期间饮食宜清淡，低盐
D.实热积滞致大便燥结者慎用
E.服药应从小剂量开始，逐渐加量",$D$,D,single_choice
"冰硼散的使用方法是

A.吹敷
B.口服
C.喷敷
D.敷搽
E.冲服",$A$,A,single_choice
"具燥湿健脾，祛风湿，发汗，明目功效的药物是

A.羌活
B.厚朴
C.薏苡仁
D.藿香
E.苍术",$E$,E,single_choice
"与患者疾病密切相关的脏腑是

A.肝
B.心
C.脾
D.肺
E.肾",$A$,A,single_choice
"治宜选用

A.六磨汤合槟榔四消丸
B.逍遥散合保和丸
C.膈下逐瘀汤合通窍活血汤
D.少腹逐瘀汤合一贯煎
	45
专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台
E.柴胡疏肝散合失笑散",$E$,E,single_choice
"川芎主产于 。

A.四川
B.贵州
C.云南
D.陕西
E.湖北",$A$,A,single_choice
"黄酮类化合物常可与铝盐、铅盐、锆盐、镁盐等试剂反应，生成有色络合物。与2％二氯氧化锆甲醇溶液反应生成 。

A.黄色的络合物
B.黄色至红色沉淀
C.绿色至蓝色沉淀
D.红棕色沉淀
E.红色络合物",$A$,A,single_choice
"右归丸不可以久用的原因是方中含有

A.川乌
B.附子
C.朱砂
D.雄黄
E.马钱子",$B$,B,single_choice
"患者张某，男，27岁，聚餐后出现胃脘疼痛，胀满拒按，嗳腐吞酸，或呕吐不消化食物，其味腐臭，吐后痛减，不思饮食，大便不爽，得矢气及便后稍舒，舌苔厚腻，脉滑。治宜选用

A.大承气汤
B.小承气汤
C.藿香正气丸
D.半夏泻心汤
E.保和丸",$E$,E,single_choice
"影响药材质量的至关重要的因素是 。

A.栽培
B.品种
C.采收
D.产地加工
E.炮制",$B$,B,single_choice
"《中国药典》现行版规定的颗粒剂粒度的检查中，不能通过1号筛和能通过5号筛的颗粒和粉末总和不得过 。

A.10％
B.12％
C.5％
D.6％
E.15％",$E$,E,single_choice
"中医应诊断为

A.疮疖
B.乳痈
C.乳癖
D.粉刺
E.瘾疹",$B$,B,single_choice
"老年人用药剂量应

A.首次服用剂量加倍
B.首次服用剂量给足
C.严格按说明书成人剂量服用
D.从最大剂量服用
E.从最小剂量服用",$E$,E,single_choice
"对哺乳期妇女使用中药，下列说法不正确的是

A.哺乳期妇女应慎用中药
B.最好不用乳汁中浓度大于乳母血浓度的药物
C.复方甘草口服液在乳汁中量少，新生儿不受影响，可以随意用
D.对不易进入母乳的药物要选择地应用
E.注意能通过母乳影响新生儿的药物",$C$,C,single_choice
"高级功效是指 。

A.中药防治、诊断疾病及强身健体的作用
B.中药防治、诊断疾病及强身健体作用的高度概括
C.中药防治、诊断疾病及强身健体作用的用语原始直白
D.中药防治、作用部位及强身健体的作用
E.中药防治、安全程度及强身健体的作用",$B$,B,single_choice
"下列哪一项不是肝郁气滞胁痛的特点

A.胁肋胀痛
B.走窜不定
C.入夜痛甚
D.胸闷嗳气
	19
专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台
E.疼痛每因情志变化而增减",$C$,C,single_choice
"治疗气滞血虚所致的月经不调宜选用

A.七制香附丸
B.妇科十味片
C.益母草颗粒
D.八珍益母丸
E.少腹逐瘀丸",$A$,A,single_choice
"治疗崩漏时属于脾不统血者，宜选用的方剂是

A.四物汤加减
B.固本止崩汤加减
C.调肝汤加减
D.左归丸合二至丸
E.归脾汤加减",$B$,B,single_choice
"下列制备注射剂方法中，哪个不可除去热原 。

A.250℃加热30～45分钟
B.蒸馏水器上附完好的隔沫装置
C.滤过
D.活性炭吸附
E.用聚酰胺膜进行反渗透",$C$,C,single_choice
"复方丹参片和丹七片均有的功能有

A.活血
B.行气
C.化瘀
D.止痛
E.安神
	45
",$A$,A,single_choice
"肺居胸腔，左右各一，上接气管、喉咙，与鼻相通。以下有关肺的表述，说法错误的是

A.在诸脏腑中，肺位最高，故称“华盖”
B.肺叶娇嫩，不耐寒热，易被邪侵，故称“娇脏”
C.肺在调节津液代谢中发挥重要作用，故称“肺为水之上源”和“肺主行水”
D.肺从自然界中吸入清气，保持吸气的深度，防止呼吸表浅，故称“肺主纳气”
E.全身血液通过经脉而会聚于肺，通过肺的呼吸，进行气体的交换，然后再输布到全身，故称“肺朝百脉”参考答案：",$C$,C,single_choice
"酶水解后可产生氢氰酸的苷是 。

A.靛苷
B.苦杏仁苷
C.天麻苷
D.水杨苷
E.红景天苷",$B$,B,single_choice
"云南白药除能化瘀止血，活血止痛外，还能

A.解毒消肿
B.破血消癥
C.续筋接骨
D.舒筋活络
E.滋阴清热",$A$,A,single_choice
"目为肝之窍，同时五脏六腑之精气皆上注于目，故眼目的异常变化，不仅关系于肝，而且也能反映其他脏腑的病变。小儿睡眼露睛，多为

A.水肿
B.津液亏耗
C.肝经风热
D.脾虚
E.肝风",$C$,C,single_choice
"六味地黄中所用的地黄应为 。

A.鲜地黄
B.生地黄
C.熟地黄
D.生地炭
E.熟地炭",$C$,C,single_choice
"具有抗消化性溃疡、止泻、利胆作用，也有降血糖、降血脂等作用的药材是 。

A.螺旋甾烷型
B.达玛烷型
C.齐墩果烷型
D.乌索烷型
E.羽扇豆烷型",$E$,E,single_choice
"生脉饮的功能是

A.益气复脉，养阴生津
B.滋肾养阴，益气生津
C.益气养阴，健脾补肾
	77

D.滋阴益气，固本培元
E.滋阴活血，温肾补脾",$A$,A,single_choice
"能敛肺，涩肠，安蛔的是

A.诃子
B.罂粟壳
C.五倍子
D.五味子
E.乌梅",$E$,E,single_choice
"治疗时可选用的中成药不包括

A.血府逐瘀口服液
B.七叶神安片
C.稳心颗粒
D.参松养心胶囊
E.芪苈强心胶囊",$E$,E,single_choice
"芡实的功效是

A.益气、除热止汗
B.益肾固精，补脾祛湿
C.清热燥湿、杀虫
D.益肾固精、明目
E.补益肝肾、收敛固涩",$B$,B,single_choice
"脾胃虚寒型胃痛治宜

A.柴胡疏肝散
B.清中汤
C.四君子汤
D.保和丸
E.黄芪建中汤",$E$,E,single_choice
"马兜铃所引起的毒性主要是 。

A.肾毒性
B.脾毒性
C.耳毒性
D.心脏毒性
E.肺毒性",$A$,A,single_choice
"鞣质的两个类别是 。

A.没食子酸鞣质和逆没食子酸鞣质
B.以喹诺里西啶为基本结构单元的化合物
C.可水解鞣质和缩合鞣质
D.由酚酸和多元醇通过苷键和酯键形成的化合物
E.一类结构比较复杂的多元酚类化合物",$C$,C,single_choice
"中医诊断为

A.癃闭
B.汗证
C.水肿
D.痹证
E.郁证",$C$,C,single_choice
"贴膏剂的质量检查 。

A.含量均匀度、释放度、微生物限度
B.油润细腻、光亮、老嫩适度、滩涂均匀、无飞边缺口，加温后能粘贴于皮肤上且不移动
C.粒度、装量，无菌和微生物限度检查
D.软化点和无菌
E.含膏量、耐热性、赋形剂、黏附性和重量差异",$E$,E,single_choice
"黄酮类化合物的颜色，与助色团取代位置与数目有关，尤其在 。

A.2＇，4＇位
B.6，7位
C.5，8位
D.7，4＇位
E.5位",$D$,D,single_choice
"既凉血止血，又祛痰止咳的药是

A.大蓟
B.白及
C.地榆
D.侧柏叶
E.棕榈炭",$D$,D,single_choice
"中医应辨证为

A.寒湿腰痛
B.风寒腰痛
C.瘀血腰痛
D.湿热腰痛
E.肾虚腰痛",$A$,A,single_choice
"软膏剂的质量检查 。

A.条剂
B.钉剂
C.线剂
D.糕剂
E.丹剂",$C$,C,single_choice
"大面积烧伤患者，不宜外用的药物是

A.侧柏叶
B.地榆
C.紫珠叶
D.白及
E.虎杖",$B$,B,single_choice
"宽丝的规格是 。

A.05mm以下
B.1～2mm
C.2～4mm
D.2～3mm
E.5～10mm",$E$,E,single_choice
"郁证痰气郁结证的最佳选方是

A.四逆散
B.柴胡疏肝散
C.归脾丸
D.逍遥散
E.半夏厚朴汤",$E$,E,single_choice
"患儿，3岁。体重13kg，自入幼儿园2个月来，食欲不振，面色少华，偶尔多食后则脘腹饱胀，恶心，形体尚可，精神如常，二便不调，舌苔薄腻。其治法是

A.消食导滞，理气行滞
B.健脾益气，开胃助运
C.滋脾养胃，佐以助运
D.疏肝开郁，理气助运
E.调和脾胃，运脾开胃",$E$,E,single_choice
"以下具有旋光性的是 。

A.黄酮醇
B.查耳酮
C.黄烷
D.黄酮
E.异黄酮",$C$,C,single_choice
"老年患者在用药的时候，在剂量的使用上应该注意

A.首次服用剂量减半
B.首次服用剂量加倍
C.按照说明书服用
D.从最大剂量服用
E.从最小剂量服用",$E$,E,single_choice
"鉴定生物碱的试剂是 。

A.碘化铋钾
B.硼酸
C.锆盐
D.三氯化铁
E.硫酸铜",$A$,A,single_choice
"清炒决明子的主要目的是 。

A.降低毒性
B.缓和药性
C.增强疗效
D.矫臭矫味
E.利于贮藏",$C$,C,single_choice
"某女，60岁，有冠心病史半年，昨日因劳作太累，胸部隐隐作痛，神疲乏力，气短懒言，心悸自汗。舌胖有齿痕，色淡暗，苔薄白，脉弱而涩。治疗主方选

A.补阳还五汤
B.丹栀逍遥散
C.当归四逆散
D.甘麦大枣汤
E.瓜蒌薤白半夏汤",$A$,A,single_choice
"治疗崩漏时属于气血两虚者，宜选用的方剂是

A.四物汤加减
B.固本止崩汤加减
C.调肝汤加减
D.左归丸合二至丸
E.归脾汤加减",$E$,E,single_choice
"某女，36岁。月经周期提前半年有余，量少色淡暗，质清稀。腰膝酸软，头晕耳鸣，面色晦暗，舌淡暗，苔白，脉沉细。中医应辨证为
专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台
B脾气虚证
C.血虚证
D.肝郁血热证
E.痰湿证
参考答案：A
【解析】月经先期——肾气虚证【症状】月经周期提前，经量或多或少，色淡暗，质清稀；腰膝酸软，头晕耳鸣，面色晦暗或面有暗斑。舌淡暗，苔白，脉沉细。掌握“月经先期”知识点。
6.肝郁血热证月经先期的首选方是

A.两地汤
B.清经散
C.清热固经汤
D.丹栀逍遥散
E.保阴煎",$D$,D,single_choice
"当选用凉开药，并配伍清热解毒药同用的病证是

A.神昏闭证又兼惊痫抽搐者
B.热闭者面赤身热、苔黄脉数
C.寒闭者面青身凉、苔白脉迟
D.虚者即脱证
E.神志昏迷有虚实之分，实者即闭证",$B$,B,single_choice
"洋地黄毒苷溶解性的特点是 。

A.易溶于水
B.易溶于石油醚
C.易溶于二氯甲烷
D.易溶于氯仿
E.易溶于环己烷",$D$,D,single_choice
"与硼砂对抗同贮的是

A.绿豆
B.细辛
C.花椒
D.冰片
E.丹皮",$A$,A,single_choice
"以下药材为 。

A.豆科植物密花豆的干燥藤茎
B.豆科植物密花豆的干燥根及根茎
C.木通科植物密花豆的干燥根
D.木通科植物大血藤的干燥藤茎
E.木通科植物大血藤的干燥根",$A$,A,single_choice
"白薇来源于 。

A.萝藦科
B.莎草科
C.桔梗科
D.石竹科
E.玄参科",$A$,A,single_choice
"某男，65岁，因肾虚作喘，服用金匮肾气丸后症状稍有缓解，但出现口燥咽干等症状。为进一步改善症状，执业药师建议加服的中成药是
	3

A.蛇胆川贝液
B.生脉饮
C.清气化痰丸
D.参苏丸
E.桂龙咳喘宁",$B$,B,single_choice
"以下关于服药方式的表述，说法错误的是

A.咽喉含片是将药物含于口中，然后合并双唇，避免搅动舌头，直至药物完全溶解，在用药过程中应避免吃喝吞咽、抽烟等动作，不可咀嚼或吞咽药物
B.老人、儿童及吞咽困难的患者可将缓控释制剂碾碎服用
C.含服剂用药时需保持口腔湿润
D.胶剂可用水或黄酒加热熔化后服用，或兑入煎好的药液中加热烊化服用
E.茶剂用时以沸水泡汁或煎汁，不定时饮用",$C$,C,single_choice
"某女，42岁。小便频数，咽干舌燥，耳轮干枯，腰膝酸软，畏寒肢冷，舌淡，苔白乏津，脉沉细无力，治疗宜选用的中成药是

A.参苓白术散
B.六味地黄丸
C.消渴平片
D.附子理中丸
E.金匮肾气丸",$E$,E,single_choice
"不属于对应津液辨证的功效是 。

A.化痰
B.补气
C.利水
D.生津
E.保津",$B$,B,single_choice
"以下关于玉屏风胶囊中的防风、黄芪、白术的说法正确的是

A.防风善祛风解表
B.防风得芪、术，固表而不留邪
C.芪、术得防风，祛邪而不伤正
D.防风为佐药
E.黄芪、防风共为佐药",$A$,A,single_choice
"舒筋活血片不宜过量或持久服的原因是方中含有

A.鸡血藤
B.红花
C.香加皮
D.自然铜
E.络石藤",$C$,C,single_choice
"血虚证的临床表现是

A.少气懒言，疲倦乏力
B.潮热盗汗，舌红少苔
C.面色苍白，唇色淡白
D.痛如针刺，固定不移
E.恶风自汗，畏寒肢冷",$C$,C,single_choice
"治疗厌食脾胃气虚证的首选方剂是

A.保和丸
B.异功散
C.四君子汤
D.补中益气汤
E.健脾丸",$B$,B,single_choice
"关于当归龙荟丸说法正确的有

A.可泻火通便
B.可养阴生津
C.治肝胆火旺
D.治脾肾两虚
E.治肠热津亏",$A$,A,single_choice
"治疗宜选用的治法是

A.疏风清肺
	8

B.清热除湿解毒
C.疏风散寒止痒
D.辛凉解表宣肺
E.疏风清热止痒",$B$,B,single_choice
"下列体现沉降功效的是 。

A.升阳发表
B.降气化痰
C.祛风散寒
D.开窍
E.涌吐",$B$,B,single_choice
"西红花的采收期是 。

A.开花前期
B.开花盛期
C.生长末期
D.花蕾期
E.生长初期",$B$,B,single_choice
"瘀血所致的崩漏证，其治疗时应采用的原则是

A.扶正
B.祛邪
C.先祛邪后扶正
D.先扶正后祛邪
E.扶正与祛邪兼用",$C$,C,single_choice
"肥儿丸除消食外，还可

A.祛痰
B.驱虫
C.泻火
D.解毒
E.止泻",$B$,B,single_choice
"AMY活性增高最常见于

A.病毒性肝炎
B.急性肠胃炎
C.急性胰腺炎
D.慢性胆囊炎
E.病毒性心肌炎",$A$,A,single_choice
"番红花的正名是

A.藏红花
B.红花
C.草红花
D.西红花
E.红蓝花",$D$,D,single_choice
"酸性最强的蒽醌类衍生物中含有的基团是 。

A.2个β-OH
B.3个α-OH
C.2个β-OH，1个α-OH
D.1个COOH
E.3个α-OH",$D$,D,single_choice
"黄芩蒸制的目的是 。

A.杀酶保苷，便于切片
B.增强补脾益气的功能
C.降低毒性，保证临床用药安全
D.改变药性，扩大药用范围
E.消除致泻，增强补肝肾、乌须发作用",$A$,A,single_choice
"属于倍半萜类的化合物是 。

A.龙脑
B.梓醇苷
C.紫杉醇
D.青蒿素
E.穿心莲内酯",$D$,D,single_choice
"人参保肺丸的主治是

A.上盛下虚，气逆痰壅
B.肾不纳气所致的喘促
C.肺肾两虚，阴虚肺热
D.肺气亏虚，肺失宣降
E.痰浊阻肺",$D$,D,single_choice
"银柴胡来源于 。

A.豆科
B.伞形科
C.紫草科
D.石竹科
E.十字花科",$D$,D,single_choice
"组成缩合鞣质的基本单元是 。

A.酚羟基
B.黄烷-3-醇
C.哌啶环
D.环戊烷
E.吡喃酮",$B$,B,single_choice
"在碱液中先呈黄色，通入空气后变为棕色的黄酮是 。

A.黄酮
B.查耳酮
C.黄酮醇
D.二氢黄酮
E.橙酮",$C$,C,single_choice
"咳嗽气粗，喉中有痰声，痰多，质黏腻黄稠，咯吐不爽，舌质红，苔黄腻，脉滑数。辨证为

A.咳嗽之肺阴亏耗证
B.咳嗽之风燥伤肺证
C.咳嗽之痰热郁肺证
D.咳嗽之痰湿蕴肺证
E.咳嗽之肝火犯肺证",$C$,C,single_choice
"主治肠胃实热积滞所致的便秘的是

A.苁蓉通便口服液
B.舟车丸
C.尿毒清颗粒
D.通便宁片
E.麻仁胶囊",$D$,D,single_choice
"豨莶草除祛风湿、通经络外，又能

A.止血
B.活血
C.降血压
	12

D.消痰水
E.利小便",$C$,C,single_choice
