problem,solution,answer,problem_type
"湿盛中满者忌用的是

A.补阳药
B.泻下药
C.补气药
D.芳香化湿药
E.补阴药",$C$,C,single_choice
"青娥丸的功能是

A.益气健脾
B.补肾强腰
C.补血调经
D.温补脾肾
E.温补肾阳",$B$,B,single_choice
"论舌的第一部专著是

A.《舌鉴》
B.《彩图辨舌指南》
C.《点点金》
D.《伤寒金镜录》
E.《望诊遵经》",$D$,D,single_choice
"苦杏仁、桃仁的共同功效是

A.活血化瘀
B.止咳平喘
C.宣肺利水
D.润肠通便
E.消痈排脓",$A$,A,single_choice
"下列何项不是四逆散的功用（ ）

A.透邪
B.温阳
C.理脾
D.疏肝
E.解郁",$B$,B,single_choice
"酸枣仁汤的药组是

A.酸枣仁知母.人参.甘草.川芎
B.酸枣仁山药.知母.川 芎 .茯苓
C.酸枣仁甘草.山栀 .茯苓.川芎
D.酸枣仁知母.大枣.茯苓.川 芎
E.酸枣仁知母.甘草.茯苓.川 芎",$E$,E,single_choice
"无热恶寒，但欲寐，下利肢冷，呕不能食，属于：（    ）

A.少阴寒化证
B.少阴热化证
C.太阳蓄水证
D.太阳蓄血证
E.太阴寒湿证",$A$,A,single_choice
"有关炉甘石煅制叙述不正确的是 。

A.煅炉甘石是将净炉甘石块，置煅锅内，用武火加热至红透，立即投入水中浸淬，搅拌，取上层混悬液，残渣继续煅淬3～4次，至不混悬为度，合并混悬液，静置，倾去上层清液，干燥
B.制炉甘石是将煅炉甘石细粉，用黄连汤制或三黄汤制
C.炉甘石一般不生用，也不作内服，煅淬后，适宜于内服
D.采用用黄连汤制或三黄汤制煅炉甘石，可增强清热明目、敛疮收湿作用
E.经煅淬水飞后，消除对敏感部位的刺激性",$C$,C,single_choice
"以下含有马兜铃酸的中药不包括 。

A.青木香
B.广防己
C.细辛
D.天仙藤
E.木香",$E$,E,single_choice
"十枣汤的最佳服用时间是（ ）

A.睡前服
B.清晨空腹服
C.饭后服
D.饭前服
E.不拘时服",$B$,B,single_choice
"耳聋百节皆纵的病机是

A.太阳之脉终绝
B.太阴之脉终绝
C.少阳之脉终绝
D.少阴之脉终绝",$C$,C,single_choice
"一老年患者，体弱多病，感冒后出现恶寒发热，头痛鼻塞，倦怠无力，气短懒言，反复发作，恶风，易汗出，舌质淡，苔薄白，脉浮而无力。治疗首选方剂是：

A.参苏饮
B.银翘散
C.葱豉汤
D.加减葳蕤汤
E.麻杏石甘汤",$A$,A,single_choice
"反应极为灵敏，分子中的α-去氧糖可定量地发生的反应 。

A.温和酸水解
B.强烈酸水解
C.氯化氢-丙酮法水解
D.酶水解
E.碱水解",$A$,A,single_choice
"“太息”即为胸中郁闷不舒，发出长叹的声音，现多称“叹息”，其病机为

A.肝阳上亢
B.肺气不足
C.肝失疏泄
D.脾失健运
E.胃气上逆",$D$,D,single_choice
"津液与元气运行的主要通道是

A.三焦
B.腠理
C.血脉
D.水道",$A$,A,single_choice
"属于分离不同药用部位的是 。

A.扁豆分离种皮和种仁
B.厚朴分离栓皮
C.枳壳分离瓤
D.巴戟天分离木心
E.党参分离芦头",$A$,A,single_choice
"肾阳虚损以致脾阳不振的治法是

A.益火补土法
B.金水相生法
C.泻火补水法
D.培土制水法",$A$,A,single_choice
"五灵脂不具有的功效是

A.活血
B.解蛇虫毒
C.止痛
D.消食化积
E.止血",$D$,D,single_choice
"花剥苔表示：(    )

A.脾虚湿侵
B.脾肾阳虚
C.气血不足
D.胃之气阴两虚
E.肾阴不足",$D$,D,single_choice
"秋季花蕾生长时采收的茵陈商品名 。

A.红花
B.黄柏
C.大黄
D.牡丹皮
E.槐米",$E$,E,single_choice
"下列哪项并非寒痰阻肺证所见：(    )

A.咳嗽痰鸣
B.胸闷气喘
C.舌苔白滑
D.痰稀易咯
E.脉象浮紧",$A$,A,single_choice
"某女，58岁。咽部疼痛，咳嗽时疼痛加剧，咽部红肿，颌下有臖核；伴见发热恶风，头痛，咳嗽痰黄。舌质红，苔黄，脉浮数。治宜选方

A.养阴清肺汤
B.疏风清热汤
C.清咽利膈汤
D.龙胆泻肝汤
E.瓜蒌薤白半夏汤",$B$,B,single_choice
"古代哪本书对小儿生长发育、体质特点、先天因素致病作了论述

A.《伤寒杂病论》
B.《诸病源候论》
C.《黄帝内经》
D.《小儿药证直诀》",$D$,D,single_choice
"苏子降气汤的药组有（ ）

A.肉桂
B.杏仁
C.桔梗
D.百部
E.附子",$A$,A,single_choice
"礞石滚痰丸的功能是

A.散结消瘿
B.逐痰降火
C.燥湿化痰、理气和胃
D.清热化痰，止咳
E.健脾祛湿、化痰熄风",$B$,B,single_choice
"麻黄汤主治

A.外寒里饮证
B.外感风邪，邪热壅肺证
C.外感风寒表虚证
D.外感风寒表实证
E.风邪犯肺证",$D$,D,single_choice
"以下患者尿沉渣可见黄疸患者可出现

A.尿酸盐结晶
B.胆红素结晶
C.胱氨酸结晶
D.草酸盐结晶
E.脂肪醇结晶",$A$,A,single_choice
"芤脉与革脉的相同特点是：（    ）

A.浮而不聚
B.浮而无力
C.浮而中空
D.脉位浅表，脉体阔大
E.脉位浅表，细软无力",$C$,C,single_choice
"“益火补土”法适用于

A.肾阳虚损证
B.心肾阳虚证
C.心脾两虚证
D.脾胃阳虚证",$A$,A,single_choice
"四君子汤加何药为六君子汤

A.山药陈皮
B.陈皮木香
C.半夏砂仁
D.陈皮半夏
E.半夏桔梗",$D$,D,single_choice
"下列哪项不是中风的主症

A.猝然昏仆
B.半身不遂
C.口眼?斜
D.四肢抽搐
E.语言不利",$D$,D,single_choice
"以下哪项不是黄疸病的主要病因

A.感受外邪
B.饮食不节
C.情志过极
D.砂石、虫体阻滞胆道",$C$,C,single_choice
"硼酸作为眼用制剂中的 。

A.渗透压调节剂
B.增溶剂
C.抑菌剂
D.助悬剂
E.黏度调节剂",$A$,A,single_choice
"茯苓采收加工须 。

A.发汗
B.暴晒
C.熏硫
D.切片
E.蒸",$A$,A,single_choice
"因寒凝血瘀而致痛经，首选方是

A.膈下逐瘀汤
B.血府逐瘀汤
C.少腹逐瘀汤
D.桃红四物汤
E.桂枝茯苓丸",$C$,C,single_choice
"胃热壅盛所致吐血的主要临床表现有哪些

A.脘腹胀闷，甚则作痛
B.吐血色红或紫黯，常夹有食物残渣
C.口苦胁痛，心烦易怒，寐少梦多
D.神疲乏力，心悸气短
E.大便色黑",$A$,A,single_choice
"肾功能不全者用药的基本原则和使用注意事项是

A.明确疾病的诊断和治疗目标
B.忌用有肾毒性的药物
C.注意药物的相互作用，避免产生新的肾损害
D.坚持少而精的用药原则
E.定期检查，及时调整治疗方案",$A$,A,single_choice
"“主津”的腑是

A.膀胱
B.胆
C.小肠
D.大肠
E.胃",$D$,D,single_choice
"糖类化合物可发生硼酸络合反应，是因为其含有 。

A.端羟基
B.醛基
C.酮基
D.邻二羟基
E.缩醛羟基",$D$,D,single_choice
"沉按实大弦长称之为：（    ）

A.长脉
B.弦脉
C.伏脉
D.牢脉
E.紧脉",$D$,D,single_choice
"手足心出汗多属于(    )脏的病变

A.心
B.肺
C.脾
D.肝
E.肾",$C$,C,single_choice
"细辛造成的毒性反应多是 。

B.心脏毒性
C.肾毒性
D.脾胃毒性
E.肺毒性",$C$,C,single_choice
"哪一项是异位妊娠破裂时最主要的症状

A.月经史和早孕反应
B.不规则阴道出血
C.突然发现下腹剧烈疼痛
D.休克",$C$,C,single_choice
"燥邪的特性是

A.炎上动血
B.重浊黏滞
C.善行数变
D.干涩伤津
E.收引凝滞",$D$,D,single_choice
"下列何方中的大黄与他药配伍苦寒之性被制，而泻下之功犹存（ ）

A.凉膈散
B.温脾汤
C.大黄牡丹汤
D.大承气汤
E.麻子仁丸",$B$,B,single_choice
"醌类化合物结构中的助色团是 。

A.酮羰基
B.醇羟基
C.酚羟基
D.苯环
E.甲基",$C$,C,single_choice
"治疗小儿疳证“疳气”的首选方剂是：

A.枳术丸
B.肥儿丸
C.资生健脾丸
D.木香大安丸
E.以上都不是",$C$,C,single_choice
"以下可以治疗肝阳上亢证的药物有

A.正天丸
B.天麻钩藤颗粒
C.脑立清丸
D.半夏天麻丸
E.松龄血脉康胶囊",$A$,A,single_choice
"以下药材中来源于百合科，略呈圆柱形，有结节状隆起的为 。

A.人参
B.石菖蒲
C.紫草
D.黄精
E.土茯苓",$E$,E,single_choice
"服用时可以用黄酒送服的药物是

A.牛黄醒消丸
B.如意金黄散
C.拔毒生肌散
D.连翘败毒丸
E.生肌玉红膏",$A$,A,single_choice
"畏寒常出现于(    )

A.寒热并见
B.寒热往来
C.但寒不热
D.但热不寒
E.表寒里热",$C$,C,single_choice
"心气虚证的临床表现是

A.心悸气短，神疲乏力
B.心胸憋闷，形寒肢冷
C.心悸气短，唇舌色淡
D.心悸气短，五心烦热
E.心中烦热，口舌糜烂疼痛",$A$,A,single_choice
"奇经八脉中,与脑、髓、肾关系密切的是

A.任脉
B.维脉
C.督脉
D.冲脉
E.带脉",$C$,C,single_choice
"药剂上热原的主要成分是 。

A.异性蛋白
B.胆固醇
C.脂多糖
D.生物激素
E.磷脂",$C$,C,single_choice
"气陷病机,主要是指

A.气虚无力升举,脏腑位置下垂
B.气的出入异常,或闭阻,或外散
C.气机升降失常,脏腑之气逆上
D.元气耗损,脏腑功能衰退
E.气机不畅,脏腑功能障碍",$A$,A,single_choice
"以下属于醇苷类化合物的是 。

A.红景天苷
B.天麻苷
C.萝卜苷
D.苦杏仁苷
E.芦荟苷",$A$,A,single_choice
"与明胶反应生成沉淀的成分是 。

A.木脂素
B.鞣质
C.香豆素
D.皂苷
E.强心苷",$B$,B,single_choice
"“血府”指

A.脑
B.髓
C.骨
D.脉",$D$,D,single_choice
"莱菔子的功效是

A.消食，活血
B.消食，固精
C.消食，回乳
D.消食，化痰
E.消食，疏肝",$D$,D,single_choice
"根据五神脏论，脾所藏的是

A.魄
B.魂
C.志
D.意",$D$,D,single_choice
"可以产生苯甲醛的苷类属于 。

A.酯苷
B.碳苷
C.氧苷
D.氰苷
E.硫苷",$D$,D,single_choice
"宜切薄片的药物是 。

A.麻黄
B.荷叶
C.白芍
D.大黄
E.黄芪",$C$,C,single_choice
"下列说法不正确的是

A.新生儿期：从出生脐带结扎后满天
B.婴儿期：出生天后至周岁
C.婴儿期：出生天后至周岁
D.幼儿期：周岁后至周岁",$D$,D,single_choice
"恶热，汗出，口渴，心烦，疲乏，尿黄，脉虚数，是为：（      ）

A.风淫证候
B.寒淫证候
C.湿淫证候
D.火淫证候
E.暑淫证候",$E$,E,single_choice
"汗多神疲，脉虚数，属何方主治证的临床表现

A.牡蛎散
B.生脉散
C.白虎汤
D.桂枝汤
E.玉屏风散",$B$,B,single_choice
"解表散寒，祛风胜湿的是

A.荆防颗粒
B.正柴胡饮颗粒
C.银翘解毒丸
D.桑菊感冒片
E.参苏丸",$A$,A,single_choice
"饮邪停于胃肠者称为

A.痰饮
B.溢 饮
C.支饮
D.悬饮",$A$,A,single_choice
"饭后嗜睡，神疲倦怠，食少纳呆者为：（    ）

A.痰湿困脾
B.肝郁犯脾
C.心肾阳气虚衰
D.热入心包
E.心胆气虚",$A$,A,single_choice
"因“吸受秽湿”，而症见“热蒸头胀，身痛呕逆，小便不通，神识昏迷，舌白，渴不多饮”者，辨证为

A.湿热酿痰，蒙蔽心包
B.湿热弥漫三焦
C.湿热郁伏膜原
D.湿热困阻中焦
E.湿热闭阻下焦",$B$,B,single_choice
"山豆根所含生物碱具有 。

A.发汗、平喘作用
B.镇痛作用
C.调节免疫力和耐缺氧的作用
D.抗肿瘤作用
E.抗炎、抗肿瘤",$D$,D,single_choice
"治疗肺炎喘嗽风寒闭肺证，应首选的方剂是

A.三拗汤
B.华盖散
C.麻杏石甘汤
D.小青龙汤
E.金沸草散",$B$,B,single_choice
"可损伤肾精的因素是

A.房劳过度
B.劳力过度
C.劳神过度
D.过饱
E.过饥",$A$,A,single_choice
"关于五行相侮，下列说法正确的是

A.母气有余，传乘其子
B.子气有余，传乘其母
C.气有余则制己所胜
D.气有余则乘侮其所不胜
E.气不及则己所不胜侮而乘之",$D$,D,single_choice
"湿盛胀满、水肿患者，忌用

A.麻黄
B.甘草
C.升麻
D.黄药子
E.麦芽",$B$,B,single_choice
"下列体现沉降功效的是 。

A.升阳发表
B.降气化痰
C.祛风散寒
D.开窍
E.涌吐",$B$,B,single_choice
"风寒湿痹慎用的是

A.补中益气丸
B.木瓜丸
C.济生肾气丸
D.柏子养心丸
E.痛风定胶囊",$E$,E,single_choice
"应在落果期采收的是 。

A.开花前期
B.开花盛期
C.生长末期
D.花蕾期
E.生长初期",$A$,A,single_choice
"感邪后某一部位病证未了,又出现另一部位病证的发病类型是

A.感邪即发
B.并病
C.继发
D.徐发
E.合病",$B$,B,single_choice
"温里药临床应用时，寒湿内蕴者，配

A.解表药
B.行气药
C.化湿健脾药
D.温补脾肾药
E.大补元气药",$C$,C,single_choice
"因含有朱砂，如过量服用，可致急性肾功能衰竭的中成药是

A.牛黄上清丸
B.天王补心丸
C.牛黄降压丸
D.冠心苏合丸
E.牛黄解毒丸",$B$,B,single_choice
"瘾疹血虚风燥证，治宜选用的治法是

A.疏风散寒止痒
B.疏风清热止痒
C.疏风解表，通腑泄热
D.养血祛风，润燥止痒
E.清热利湿止血",$D$,D,single_choice
"着痹症见

A.肢体关节、肌肉疼痛酸楚，疼痛呈游走性
B.肢体关节疼痛，部位固定，遇寒痛甚
C.肢体关节、肌肉酸楚、重着，肿胀散漫
D.关节肿胀局限，见皮下结节
E.肢体关节疼痛，屈伸不利，关节肿大僵硬、变形",$C$,C,single_choice
"前额连眉棱骨疼痛，属于(    )

A.督脉
B.少阳经
C.太阳经
D.阳明经
E.厥阴经",$D$,D,single_choice
"旋覆代赭汤主治（ ）

A.胃气虚弱，痰浊内阻之呕吐
B.痰饮内停，胃气上逆之呕吐
C.湿阻气滞，胃失和降之呕吐
D.胃虚有热之呕吐
E.胃气虚寒之呕吐",$A$,A,single_choice
"痰浊为病,随气上逆尤易

A.停滞胃腑,失于和降
B.留滞脏腑,升降失常
C.蒙蔽清窍,扰乱心神
D.流注经络,气机阻滞
E.阻滞肺气,失于宣降",$C$,C,single_choice
"以下不属于崩漏瘀血阻络证的临床表现的是

A.经色淡红
B.经血暗有血块
C.量时多时少，时出时止
D.舌质紫暗，脉涩
E.经血非时而下",$A$,A,single_choice
"被称为“先天之本”的脏腑是

A.心
B.肝
C.脾
D.肺
E.肾",$C$,C,single_choice
"传染性单核细胞增多症痰热流注证的治法是

A.辛凉解表，清暑化湿
B.清气凉营，解毒化痰
C.清气凉营，泻火涤痰
D.清热化痰，通络散瘀
E.清热解毒，泻火涤痰",$D$,D,single_choice
"与泽泻对抗同贮的是

A.绿豆
B.细辛
C.花椒
D.冰片
E.丹皮",$E$,E,single_choice
"胶剂制备中加入起降低黏性、便于切胶的作用 。

A.黄酒
B.麻油
C.冰糖
D.明矾
E.水",$B$,B,single_choice
"景天三七的功效有

A.止泻
B.解毒
C.化瘀止血
D.补阴止血
E.宁心安神",$B$,B,single_choice
"血药浓度的药时曲线具有典型的双峰现象如下图所示的化合物是 。

A.黄芩苷
B.大豆苷
C.橙皮苷
D.杜鹃素
E.芦丁",$A$,A,single_choice
"功能为养血舒筋，祛风除湿，补益肝肾的成药是

A.小活络丸
B.风湿骨痛丸
C.四妙丸
D.痛风定胶囊
E.独活寄生合剂",$E$,E,single_choice
"阴经是指

A.六脏的经脉
B.六腑的经脉
C.督、带脉
D.循行胸腹经脉",$A$,A,single_choice
"痔气滞血瘀证可采用的治法是

A.养血祛风润燥
B.清热凉血祛风
C.清热利湿止血
D.理气祛风活血
E.补气升提举陷",$D$,D,single_choice
"炒苍耳子应用的火力是 。

A.文火
B.武火
C.中火
D.土炒
E.滑石炒",$C$,C,single_choice
"患儿，6岁。时有尿频，小便清长，每晚尿床1次以上，面白少华，神疲乏力，肢冷畏寒，舌淡，苔白滑，脉沉无力。其诊断是

A.尿频，脾肾气虚
B.遗尿，肾气不足
C.遗尿，心肾失交
D.尿频，脾肾阳虚
E.遗尿，肺脾气虚",$B$,B,single_choice
"下列针灸治疗体现循经取穴的是

A.肚腹三里留
B.头项寻列缺
C.面口合谷收
D.多汗取复溜
E.乳少取少泽",$A$,A,single_choice
"产 生 “ 薄 厥 ” 的 病 因 ， 多 是

A.大怒
B.过悲
C.过喜
D.大惊
E.卒恐",$A$,A,single_choice
"《中国药典》现行版一部规定，中药片剂崩解时限，正确的为 。

A.药材原粉片在60min内
B.浸膏片在30min内
C.口含片在30min内
D.半浸膏片在30min内
E.糖衣片在60min内",$E$,E,single_choice
"枸杞子除能补肝肾明目外，又能

A.润肺
B.清心安神
C.凉血止血
D.润肠
E.养胃生津",$A$,A,single_choice
"发挥全身作用的栓剂在直肠中最佳的用药部位在 。

A.应距肛门口2cm处
B.接近直肠上、中、下静脉
C.接近直肠上静脉
D.接近直肠下静脉
E.接近肛门括约肌",$A$,A,single_choice
"黄芩具有抗菌、抗病毒作用，其主要活性成分为 。

A.黄芩总黄酮
B.黄芩素与黄芩苷
C.汉黄芩素与汉黄芩苷
D.黄芩黄酮I
E.黄芩黄酮Ⅱ",$B$,B,single_choice
"某患者停经天，左少腹隐痛天，加重半天，伴阴道少量出血，头晕，面色苍白，舌淡，苔白，脉细数。妊娠试验可疑阳性。B超提示子宫正常大小，左侧附件探及囊性包块约*cm。应诊断为

A.胎漏
B.胎动不安
C.堕胎
D.异位妊娠",$D$,D,single_choice
"草决明的正名是

A.马蹄决明
B.石决明
C.九孔石决明
D.决明子
E.海螵蛸",$D$,D,single_choice
"影响药物代谢的中西药联用药组是

A.女金丹与诺氟沙星
B.苓桂甘枣汤与心得安
C.女金丹与阿米卡星
D.千柏鼻炎片与异烟肼
E.麻仁丸与利福平",$D$,D,single_choice
"根据患者病例，仙灵骨葆胶囊的不良反应表现是

A.曈孔极度缩小
B.肝损伤
C.肾损害
D.呼吸中枢麻痹
E.曈孔散大",$B$,B,single_choice
"阳明腑实证的舌象是：

A.苔老黄燥裂
B.苔薄黄干燥
C.苔黄厚而腻
D.苔黄白相兼
E.苔白厚而燥",$A$,A,single_choice
"龙胆泻肝丸的功能是

A.清肝胆，利湿热
B.散风清热，泻火止痛
C.化瘀凉血止血
D.清热解毒，凉血利咽
E.散风止痛",$A$,A,single_choice
"按净制要求，龟甲需进行 。

A.去皮壳
B.去残肉
C.去尾足
D.去头尾
E.去足翅",$B$,B,single_choice
"以下属于原小檗碱类叔胺碱的是 。

A.乌头碱
B.厚朴碱
C.延胡索乙素
D.苦参碱
E.莨菪碱",$C$,C,single_choice
"下列不是挥发性成分的是 。

A.薄荷醇
B.樟脑
C.吉马酮
D.肉桂醛
E.黄芩素",$E$,E,single_choice
"用于治疗下焦湿热所致石淋的是

A.肾炎四味片
B.萆薢分清丸
C.五苓散
D.香连丸
E.排石颗粒",$E$,E,single_choice
"既敛肺降火，又敛汗止血的药是

A.石榴皮
B.五倍子
C.金樱子
D.五味子
E.浮小麦",$B$,B,single_choice
"小夹板外固定后应注意

A.抬高患肢
B.观察患肢血运及活动情况
C.定期复查
D.扎带松紧度适宜
E.正确的功能锻",$B$,B,single_choice
"体阴而用阳,是指

A.脾
B.肾
C.肝
D.肺
E.心",$C$,C,single_choice
"下列关于鞣质的理化性质叙述错误的是 。

A.无定形粉末
B.具有吸湿性
C.具有氧化性
D.具有酸性
E.较强的极性",$C$,C,single_choice
"以自然界清气与水谷精气为主要组成部分的气称为

A.元气
B.宗气
C.营气
D.卫气",$B$,B,single_choice
"丹参中所含的成分中属于对菲醌的是 。

A.丹参新醌乙
B.丹参醌ⅡA
C.丹参醌ⅡB
D.隐丹参酮
E.丹参醌Ⅰ",$A$,A,single_choice
"胎漏、胎动不安的常见病因病机是

A.血热
B.血瘀
C.肾虚
D.肝郁
E.气血虚弱",$A$,A,single_choice
"下列哪一种是对《伤寒论》中广义伤寒概念的正确论述:

A.以发热为主的疾病
B.一切外感热病的总称
C.感受寒邪即发的病
D.恶寒发热头痛无汗
E.由伤寒杆菌引起的病",$B$,B,single_choice
"消栓通络胶囊除活血化瘀外，还可

A.通脉止痛
B.消肿止痛
C.温经通络
D.理气止痛
E.益气养阴",$C$,C,single_choice
"痰与饮的共有症，不包括以下哪项：（      ）

A.咳吐痰涎
B.舌苔白滑
C.胸闷脘痞
D.形体肥胖
E.头晕目眩",$E$,E,single_choice
"紫花地丁的植物来源是 。

A.堇菜科
B.紫堇科
C.蔷薇科
D.罂粟科
E.毛茛科",$A$,A,single_choice
"关于换药法，以下说法正确的是

A.换药室应保持清洁，每日消毒一次
B.严格遵循无菌原则，所用物品每人一套
C.先处理感染伤口，再处理无菌伤口
D.疮面需清洁干净，避免损伤新鲜的肉芽组织
E.对汞剂过敏者禁用丹药；上丹药时需保护周围组织，不使丹药洒于疮面外",$A$,A,single_choice
"消糜栓的功能是

A.清热除湿，益气化瘀
B.清热解毒，燥湿杀虫，袪腐生肌
C.健脾补肾，调经止带
D.行气破瘀，生肌止痛
E.清热，除湿，止带",$B$,B,single_choice
"便血色红或紫黯，食少体倦，面色萎黄，心悸少寐，舌淡，脉细。当选用哪种方药

A.黄土汤
B.地榆散
C.归脾汤
D.槐角丸",$C$,C,single_choice
"根据阴阳学说药用五味，下列属阳的是

A.辛、甘、酸
B.酸、苦、咸
C.辛、苦、甘
D.辛、甘、淡
E.辛、淡、咸",$D$,D,single_choice
"面黄虚浮者，称为：(    )

A.黄胖
B.萎黄
C.阳黄
D.阴黄
E.以上都不是",$A$,A,single_choice
"直肠癌确诊的检查方法是

A.纤维肠镜+组织病理检查
B.肛门指检
C.大便隐血试验
D.CT",$A$,A,single_choice
"在下列穴位中，治疗胎位不正的是

A.至阳
B.至阴
C.会阳
D.肩井",$B$,B,single_choice
